project.project_id	cases.case_id	cases.submitter_id	samples.sample_id	samples.submitter_id	portions.portion_id	portions.submitter_id	analytes.a260_a280_ratio	analytes.amount	analytes.analyte_id	analytes.analyte_quantity	analytes.analyte_type	analytes.analyte_volume	analytes.concentration	analytes.dna_integrity_number	analytes.experimental_protocol_type	analytes.normal_tumor_genotype_snp_match	analytes.ribosomal_rna_28s_18s_ratio	analytes.rna_integrity_number	analytes.spectrophotometer_method	analytes.state	analytes.submitter_id	analytes.well_number
TCGA-LGG	e1758d75-b2a0-4386-bd72-6b2421d4da6b	TCGA-QH-A6CY	a25c3e37-13c5-422d-b97e-34f089418937	TCGA-QH-A6CY-10A	70045847-d90a-4281-b2f5-71da8d9cb505	TCGA-QH-A6CY-10A-01	'--	'--	8addf48b-ff0b-4968-a2ee-5c8680a851b3	'--	Repli-G (Qiagen) DNA	'--	'--	'--	Repli-G	Yes	'--	'--	'--	released	TCGA-QH-A6CY-10A-01W	'--
TCGA-LGG	e1758d75-b2a0-4386-bd72-6b2421d4da6b	TCGA-QH-A6CY	a25c3e37-13c5-422d-b97e-34f089418937	TCGA-QH-A6CY-10A	70045847-d90a-4281-b2f5-71da8d9cb505	TCGA-QH-A6CY-10A-01	'--	'--	a48143a4-21ea-4167-9890-59a78e294e04	'--	DNA	'--	0.16	'--	aDNA Preparation Type	Yes	'--	'--	PicoGreen	released	TCGA-QH-A6CY-10A-01D	'--
TCGA-LGG	e1758d75-b2a0-4386-bd72-6b2421d4da6b	TCGA-QH-A6CY	e93b5e03-e2d0-4c86-8b3b-d3811d0f70b5	TCGA-QH-A6CY-01A	661e3332-ff88-48c8-9620-ced93f293a75	TCGA-QH-A6CY-01A-11	'--	'--	26f65392-a4f7-4af3-9b9d-6436ba472372	'--	Repli-G (Qiagen) DNA	'--	'--	'--	Repli-G	Yes	'--	'--	'--	released	TCGA-QH-A6CY-01A-11W	'--
TCGA-LGG	e1758d75-b2a0-4386-bd72-6b2421d4da6b	TCGA-QH-A6CY	e93b5e03-e2d0-4c86-8b3b-d3811d0f70b5	TCGA-QH-A6CY-01A	661e3332-ff88-48c8-9620-ced93f293a75	TCGA-QH-A6CY-01A-11	1.88	'--	375d052c-9458-4088-8edd-c1d321c2eacd	'--	RNA	'--	0.18	'--	mirVana (Allprep DNA) RNA	Yes	1.26	7.3	UV Spec	released	TCGA-QH-A6CY-01A-11R	'--
TCGA-LGG	e1758d75-b2a0-4386-bd72-6b2421d4da6b	TCGA-QH-A6CY	e93b5e03-e2d0-4c86-8b3b-d3811d0f70b5	TCGA-QH-A6CY-01A	661e3332-ff88-48c8-9620-ced93f293a75	TCGA-QH-A6CY-01A-11	'--	'--	c51c81e9-e2c1-4979-91b7-67896a069cec	'--	DNA	'--	0.16	'--	aDNA Preparation Type	Yes	'--	'--	PicoGreen	released	TCGA-QH-A6CY-01A-11D	'--
TCGA-LGG	30bf5895-0671-4fb1-a96d-857847fcf7b0	TCGA-DU-A76K	1bf24e0a-a18b-412a-96c5-d23a1ed60327	TCGA-DU-A76K-01A	7488d2d1-f1d4-4d1f-8160-6c0faeab86cd	TCGA-DU-A76K-01A-11	1.93	'--	64494e10-27e8-465e-94f5-f173f07d84c4	'--	RNA	'--	0.18	'--	mirVana (Allprep DNA) RNA	Yes	1.05	7.2	UV Spec	released	TCGA-DU-A76K-01A-11R	'--
TCGA-LGG	30bf5895-0671-4fb1-a96d-857847fcf7b0	TCGA-DU-A76K	1bf24e0a-a18b-412a-96c5-d23a1ed60327	TCGA-DU-A76K-01A	7488d2d1-f1d4-4d1f-8160-6c0faeab86cd	TCGA-DU-A76K-01A-11	'--	'--	935dfe72-6ac4-4a9a-a6b4-8a64892084bc	'--	Repli-G (Qiagen) DNA	'--	'--	'--	Repli-G	Yes	'--	'--	'--	released	TCGA-DU-A76K-01A-11W	'--
TCGA-LGG	30bf5895-0671-4fb1-a96d-857847fcf7b0	TCGA-DU-A76K	1bf24e0a-a18b-412a-96c5-d23a1ed60327	TCGA-DU-A76K-01A	7488d2d1-f1d4-4d1f-8160-6c0faeab86cd	TCGA-DU-A76K-01A-11	'--	'--	b4428b4d-3ab5-4f28-8379-b78a505443a7	'--	DNA	'--	0.15	'--	aDNA Preparation Type	Yes	'--	'--	PicoGreen	released	TCGA-DU-A76K-01A-11D	'--
TCGA-LGG	30bf5895-0671-4fb1-a96d-857847fcf7b0	TCGA-DU-A76K	84b264e2-0750-4287-a31f-fcce73b8f0c7	TCGA-DU-A76K-10A	7fce4130-fc7d-434c-bb2f-4801bb9a89e1	TCGA-DU-A76K-10A-01	'--	'--	1d40ec9c-ac8f-4856-9b9a-9569a46a82d4	'--	Repli-G (Qiagen) DNA	'--	'--	'--	Repli-G	Yes	'--	'--	'--	released	TCGA-DU-A76K-10A-01W	'--
TCGA-LGG	30bf5895-0671-4fb1-a96d-857847fcf7b0	TCGA-DU-A76K	84b264e2-0750-4287-a31f-fcce73b8f0c7	TCGA-DU-A76K-10A	7fce4130-fc7d-434c-bb2f-4801bb9a89e1	TCGA-DU-A76K-10A-01	'--	'--	9dc0b853-a925-4f15-873f-db5c84f77b04	'--	DNA	'--	0.17	'--	Pre-extracted DNA received by TSS	Yes	'--	'--	PicoGreen	released	TCGA-DU-A76K-10A-01D	'--
TCGA-LGG	c031f2a5-a563-4d5b-bd62-49d4fa5eca78	TCGA-FG-A60J	71f4b265-ce77-49cd-9842-5df0e9c3de42	TCGA-FG-A60J-10A	0b223df3-1d3b-423d-a3e5-fe0a5ff94cb5	TCGA-FG-A60J-10A-01	'--	'--	80b01d4a-210a-469e-a3f7-4928fc20fa1a	'--	DNA	'--	0.15	'--	Pre-extracted DNA received by TSS	Yes	'--	'--	PicoGreen	released	TCGA-FG-A60J-10A-01D	'--
TCGA-LGG	c031f2a5-a563-4d5b-bd62-49d4fa5eca78	TCGA-FG-A60J	71f4b265-ce77-49cd-9842-5df0e9c3de42	TCGA-FG-A60J-10A	0b223df3-1d3b-423d-a3e5-fe0a5ff94cb5	TCGA-FG-A60J-10A-01	'--	'--	cb44d487-aad1-498e-8158-f2cb7431bd6b	'--	Repli-G (Qiagen) DNA	'--	'--	'--	Repli-G	Yes	'--	'--	'--	released	TCGA-FG-A60J-10A-01W	'--
TCGA-LGG	c031f2a5-a563-4d5b-bd62-49d4fa5eca78	TCGA-FG-A60J	77c575d1-d21d-4174-8c3e-5ea1b2a86838	TCGA-FG-A60J-01A	710e2218-11d5-458c-bd7b-7635dd42880b	TCGA-FG-A60J-01A-11	'--	'--	38048abf-c3c2-4a34-95b4-8d3f9e66576b	'--	Repli-G (Qiagen) DNA	'--	'--	'--	Repli-G	Yes	'--	'--	'--	released	TCGA-FG-A60J-01A-11W	'--
TCGA-LGG	c031f2a5-a563-4d5b-bd62-49d4fa5eca78	TCGA-FG-A60J	77c575d1-d21d-4174-8c3e-5ea1b2a86838	TCGA-FG-A60J-01A	710e2218-11d5-458c-bd7b-7635dd42880b	TCGA-FG-A60J-01A-11	1.88	'--	691ebb51-39ee-494d-8a02-dcaa8806a480	'--	RNA	'--	0.16	'--	mirVana (Allprep DNA) RNA	Yes	1.27	8.6	UV Spec	released	TCGA-FG-A60J-01A-11R	'--
TCGA-LGG	c031f2a5-a563-4d5b-bd62-49d4fa5eca78	TCGA-FG-A60J	77c575d1-d21d-4174-8c3e-5ea1b2a86838	TCGA-FG-A60J-01A	710e2218-11d5-458c-bd7b-7635dd42880b	TCGA-FG-A60J-01A-11	'--	'--	731be867-8c93-4f16-aa26-a98360711f55	'--	DNA	'--	0.16	'--	aDNA Preparation Type	Yes	'--	'--	PicoGreen	released	TCGA-FG-A60J-01A-11D	'--
TCGA-LGG	0db80dff-5586-4d9f-b253-df82e6fd6901	TCGA-HW-A5KM	cbb3a151-8bb6-42c3-9c46-f3af8e010779	TCGA-HW-A5KM-10A	e1d6aa62-af71-4c53-b22b-c0317de3424f	TCGA-HW-A5KM-10A-01	'--	'--	1927c684-544d-4601-924f-5b13eab07733	'--	Repli-G (Qiagen) DNA	'--	'--	'--	Repli-G	Yes	'--	'--	'--	released	TCGA-HW-A5KM-10A-01W	'--
TCGA-LGG	0db80dff-5586-4d9f-b253-df82e6fd6901	TCGA-HW-A5KM	cbb3a151-8bb6-42c3-9c46-f3af8e010779	TCGA-HW-A5KM-10A	e1d6aa62-af71-4c53-b22b-c0317de3424f	TCGA-HW-A5KM-10A-01	'--	'--	49fd9ca0-b2c4-4953-a587-16857fa66822	'--	DNA	'--	0.15	'--	aDNA Preparation Type	Yes	'--	'--	PicoGreen	released	TCGA-HW-A5KM-10A-01D	'--
TCGA-LGG	0db80dff-5586-4d9f-b253-df82e6fd6901	TCGA-HW-A5KM	f33eb184-bbf9-4735-9784-f2147d7e5bf5	TCGA-HW-A5KM-01A	cde6f7f7-5334-4927-9a35-dec6a026d24a	TCGA-HW-A5KM-01A-11	'--	'--	3bafb2cd-f8c1-41ea-ba1e-d6d647b08429	'--	Repli-G (Qiagen) DNA	'--	'--	'--	Repli-G	Yes	'--	'--	'--	released	TCGA-HW-A5KM-01A-11W	'--
TCGA-LGG	0db80dff-5586-4d9f-b253-df82e6fd6901	TCGA-HW-A5KM	f33eb184-bbf9-4735-9784-f2147d7e5bf5	TCGA-HW-A5KM-01A	cde6f7f7-5334-4927-9a35-dec6a026d24a	TCGA-HW-A5KM-01A-11	1.85	'--	bf5026a4-a503-4ae9-a65b-51a34cdfe6ab	'--	RNA	'--	0.16	'--	mirVana (Allprep DNA) RNA	Yes	1.7	8.4	UV Spec	released	TCGA-HW-A5KM-01A-11R	'--
TCGA-LGG	0db80dff-5586-4d9f-b253-df82e6fd6901	TCGA-HW-A5KM	f33eb184-bbf9-4735-9784-f2147d7e5bf5	TCGA-HW-A5KM-01A	cde6f7f7-5334-4927-9a35-dec6a026d24a	TCGA-HW-A5KM-01A-11	'--	'--	f1f46b02-01e3-46b5-ad1f-8100f9c066db	'--	DNA	'--	0.16	'--	aDNA Preparation Type	Yes	'--	'--	PicoGreen	released	TCGA-HW-A5KM-01A-11D	'--
TCGA-LGG	9239a22e-80b1-49a2-b0d5-cbab7e415254	TCGA-DU-6405	54bff4f3-312d-4e1a-8327-f08f5a270eac	TCGA-DU-6405-01A	75ba280e-f154-499f-ade1-aaa288796343	TCGA-DU-6405-01A-11	1.9	'--	21886e69-8d22-45e7-81c4-29bf203f8fb0	'--	DNA	'--	0.14	'--	aDNA Preparation Type	Yes	'--	'--	UV Spec	released	TCGA-DU-6405-01A-11D	'--
TCGA-LGG	9239a22e-80b1-49a2-b0d5-cbab7e415254	TCGA-DU-6405	54bff4f3-312d-4e1a-8327-f08f5a270eac	TCGA-DU-6405-01A	75ba280e-f154-499f-ade1-aaa288796343	TCGA-DU-6405-01A-11	'--	'--	3c1f855d-c6e9-4469-babb-d094dbcfbfe6	'--	Repli-G (Qiagen) DNA	'--	0.5	'--	Repli-G	Yes	'--	'--	UV Spec	released	TCGA-DU-6405-01A-11W	'--
TCGA-LGG	9239a22e-80b1-49a2-b0d5-cbab7e415254	TCGA-DU-6405	54bff4f3-312d-4e1a-8327-f08f5a270eac	TCGA-DU-6405-01A	75ba280e-f154-499f-ade1-aaa288796343	TCGA-DU-6405-01A-11	1.8	'--	e35a62fd-ca6b-462a-b256-5f790293c6b5	'--	RNA	'--	0.14	'--	mirVana (Allprep DNA) RNA	Yes	1.63	9.2	UV Spec	released	TCGA-DU-6405-01A-11R	'--
TCGA-LGG	9239a22e-80b1-49a2-b0d5-cbab7e415254	TCGA-DU-6405	d2389fbb-2fca-4a1b-8992-3db9b9bf6fbb	TCGA-DU-6405-10A	dbcd0d8a-f736-43f5-8052-8fa4d60d4948	TCGA-DU-6405-10A-01	2.6	'--	11ce0e43-41f1-4987-be86-0a9c314208d3	'--	DNA	'--	0.15	'--	Pre-extracted DNA received by TSS	Yes	'--	'--	UV Spec	released	TCGA-DU-6405-10A-01D	'--
TCGA-LGG	9239a22e-80b1-49a2-b0d5-cbab7e415254	TCGA-DU-6405	d2389fbb-2fca-4a1b-8992-3db9b9bf6fbb	TCGA-DU-6405-10A	dbcd0d8a-f736-43f5-8052-8fa4d60d4948	TCGA-DU-6405-10A-01	'--	'--	8916a95c-4fc7-48e7-9e4d-9974f5a88570	'--	Repli-G (Qiagen) DNA	'--	0.5	'--	Repli-G	Yes	'--	'--	UV Spec	released	TCGA-DU-6405-10A-01W	'--
TCGA-LGG	5e0748f1-990b-43a9-9ff1-6a667cc228a8	TCGA-DB-A4X9	5753d0c8-fbd5-42a0-a9d6-548c60a21a70	TCGA-DB-A4X9-01A	a393e126-6aa8-4205-93be-5bd0ff0fcb21	TCGA-DB-A4X9-01A-11	1.86	'--	1da90a85-23df-4aa2-a72c-d7a9dd03fb88	'--	RNA	'--	0.16	'--	mirVana (Allprep DNA) RNA	Yes	1.25	8.1	UV Spec	released	TCGA-DB-A4X9-01A-11R	'--
TCGA-LGG	5e0748f1-990b-43a9-9ff1-6a667cc228a8	TCGA-DB-A4X9	5753d0c8-fbd5-42a0-a9d6-548c60a21a70	TCGA-DB-A4X9-01A	a393e126-6aa8-4205-93be-5bd0ff0fcb21	TCGA-DB-A4X9-01A-11	'--	'--	33f24536-5a70-4679-a9ab-4f6872c4b244	'--	Repli-G (Qiagen) DNA	'--	'--	'--	Repli-G	Yes	'--	'--	'--	released	TCGA-DB-A4X9-01A-11W	'--
TCGA-LGG	5e0748f1-990b-43a9-9ff1-6a667cc228a8	TCGA-DB-A4X9	5753d0c8-fbd5-42a0-a9d6-548c60a21a70	TCGA-DB-A4X9-01A	a393e126-6aa8-4205-93be-5bd0ff0fcb21	TCGA-DB-A4X9-01A-11	'--	'--	c15593e3-acd7-4a7d-b62a-8b9ee23448da	'--	DNA	'--	0.14	'--	aDNA Preparation Type	Yes	'--	'--	PicoGreen	released	TCGA-DB-A4X9-01A-11D	'--
TCGA-LGG	5e0748f1-990b-43a9-9ff1-6a667cc228a8	TCGA-DB-A4X9	fc78458f-1f5e-4d91-91d5-3e83d566c882	TCGA-DB-A4X9-10A	08289285-3aad-4540-97ce-20bdb670592a	TCGA-DB-A4X9-10A-01	'--	'--	e22ecbfd-9fed-4b29-a396-d67d774b740b	'--	DNA	'--	0.16	'--	Pre-extracted DNA received by TSS	Yes	'--	'--	PicoGreen	released	TCGA-DB-A4X9-10A-01D	'--
TCGA-LGG	5e0748f1-990b-43a9-9ff1-6a667cc228a8	TCGA-DB-A4X9	fc78458f-1f5e-4d91-91d5-3e83d566c882	TCGA-DB-A4X9-10A	08289285-3aad-4540-97ce-20bdb670592a	TCGA-DB-A4X9-10A-01	'--	'--	f5c1d279-77b2-473a-b8b8-6615fa73e5d8	'--	Repli-G (Qiagen) DNA	'--	'--	'--	Repli-G	Yes	'--	'--	'--	released	TCGA-DB-A4X9-10A-01W	'--
TCGA-LGG	f842f756-ce78-4c99-bcf8-3bce18a4d9ef	TCGA-E1-A7YE	7a0749b2-b1a4-4253-a5cd-d11b6d7b6687	TCGA-E1-A7YE-10A	f3da9724-82c5-4b2e-b733-4a7c1bc573f3	TCGA-E1-A7YE-10A-01	'--	'--	0ef847d9-d83f-4899-b44b-702564656779	'--	Repli-G (Qiagen) DNA	'--	'--	'--	Repli-G	Yes	'--	'--	'--	released	TCGA-E1-A7YE-10A-01W	'--
TCGA-LGG	f842f756-ce78-4c99-bcf8-3bce18a4d9ef	TCGA-E1-A7YE	7a0749b2-b1a4-4253-a5cd-d11b6d7b6687	TCGA-E1-A7YE-10A	f3da9724-82c5-4b2e-b733-4a7c1bc573f3	TCGA-E1-A7YE-10A-01	'--	'--	daed20e7-aa2b-4c6d-abb8-4d306c9ceac5	'--	DNA	'--	0.16	'--	Pre-extracted DNA received by TSS	Yes	'--	'--	PicoGreen	released	TCGA-E1-A7YE-10A-01D	'--
TCGA-LGG	f842f756-ce78-4c99-bcf8-3bce18a4d9ef	TCGA-E1-A7YE	8bf3b3f3-1735-49d5-b6b9-b1fddacd6a02	TCGA-E1-A7YE-01A	442b26c3-2b7a-4bc1-adbf-560ef0ec5282	TCGA-E1-A7YE-01A-11	1.83	'--	13cc6e1f-cc1c-444e-bc3e-85f4bd41eeb3	'--	RNA	'--	0.17	'--	mirVana (Allprep DNA) RNA	Yes	1.42	8.4	UV Spec	released	TCGA-E1-A7YE-01A-11R	'--
TCGA-LGG	f842f756-ce78-4c99-bcf8-3bce18a4d9ef	TCGA-E1-A7YE	8bf3b3f3-1735-49d5-b6b9-b1fddacd6a02	TCGA-E1-A7YE-01A	442b26c3-2b7a-4bc1-adbf-560ef0ec5282	TCGA-E1-A7YE-01A-11	'--	'--	c7042167-7ffd-45c9-bc08-ba21ae57223d	'--	Repli-G (Qiagen) DNA	'--	'--	'--	Repli-G	Yes	'--	'--	'--	released	TCGA-E1-A7YE-01A-11W	'--
TCGA-LGG	f842f756-ce78-4c99-bcf8-3bce18a4d9ef	TCGA-E1-A7YE	8bf3b3f3-1735-49d5-b6b9-b1fddacd6a02	TCGA-E1-A7YE-01A	442b26c3-2b7a-4bc1-adbf-560ef0ec5282	TCGA-E1-A7YE-01A-11	'--	'--	f2a6035e-254f-4bf7-a72c-97305fdb113e	'--	DNA	'--	0.16	'--	aDNA Preparation Type	Yes	'--	'--	PicoGreen	released	TCGA-E1-A7YE-01A-11D	'--
TCGA-LGG	55a67639-ed05-4143-af96-a377bc5489ee	TCGA-HW-7486	d05ef82a-9523-430e-bc5d-b1b66fc463ab	TCGA-HW-7486-10A	ce0ffa5b-94b5-4510-8459-78904ae5d1aa	TCGA-HW-7486-10A-01	'--	'--	31df5432-0470-4693-8513-92cb10f1e935	'--	DNA	'--	0.14	'--	Chemical Lysis DNA Extraction	Yes	'--	'--	PicoGreen	released	TCGA-HW-7486-10A-01D	'--
TCGA-LGG	55a67639-ed05-4143-af96-a377bc5489ee	TCGA-HW-7486	d05ef82a-9523-430e-bc5d-b1b66fc463ab	TCGA-HW-7486-10A	ce0ffa5b-94b5-4510-8459-78904ae5d1aa	TCGA-HW-7486-10A-01	'--	'--	63be0dec-40dc-48db-bda1-940eb495a5ab	'--	Repli-G (Qiagen) DNA	'--	0.5	'--	Repli-G	Yes	'--	'--	PicoGreen	released	TCGA-HW-7486-10A-01W	'--
TCGA-LGG	55a67639-ed05-4143-af96-a377bc5489ee	TCGA-HW-7486	f0c5df7c-53aa-4d90-8189-44a2bb55a696	TCGA-HW-7486-01A	8c902a94-e311-4499-99f1-131c1cdcf2a0	TCGA-HW-7486-01A-11	'--	'--	4ac71bd2-b05e-4e37-9ace-30d216154aa6	'--	Repli-G (Qiagen) DNA	'--	0.5	'--	Repli-G	Yes	'--	'--	PicoGreen	released	TCGA-HW-7486-01A-11W	'--
TCGA-LGG	55a67639-ed05-4143-af96-a377bc5489ee	TCGA-HW-7486	f0c5df7c-53aa-4d90-8189-44a2bb55a696	TCGA-HW-7486-01A	8c902a94-e311-4499-99f1-131c1cdcf2a0	TCGA-HW-7486-01A-11	'--	'--	7349ee7c-f659-4205-b9c8-bed2e539408b	'--	RNA	'--	0.16	'--	mirVana (Allprep DNA) RNA	Yes	1.26	7.7	UV Spec	released	TCGA-HW-7486-01A-11R	'--
TCGA-LGG	55a67639-ed05-4143-af96-a377bc5489ee	TCGA-HW-7486	f0c5df7c-53aa-4d90-8189-44a2bb55a696	TCGA-HW-7486-01A	8c902a94-e311-4499-99f1-131c1cdcf2a0	TCGA-HW-7486-01A-11	'--	'--	dc2abecf-c9a3-4bd8-b35e-1a42cc855af5	'--	DNA	'--	0.14	'--	aDNA Preparation Type	Yes	'--	'--	PicoGreen	released	TCGA-HW-7486-01A-11D	'--
TCGA-LGG	f005fa99-7e4e-4308-b11c-83b25683b1fd	TCGA-DH-A66D	b1247e5e-6f17-4861-a3ed-813e2aa1e030	TCGA-DH-A66D-10A	f8fb21db-413d-4192-b5e6-2c6cd633ac35	TCGA-DH-A66D-10A-01	'--	'--	bd8fc250-9d51-4900-b90e-5cc82a8e56f8	'--	DNA	'--	0.17	'--	Pre-extracted DNA received by TSS	Yes	'--	'--	PicoGreen	released	TCGA-DH-A66D-10A-01D	'--
TCGA-LGG	f005fa99-7e4e-4308-b11c-83b25683b1fd	TCGA-DH-A66D	b1247e5e-6f17-4861-a3ed-813e2aa1e030	TCGA-DH-A66D-10A	f8fb21db-413d-4192-b5e6-2c6cd633ac35	TCGA-DH-A66D-10A-01	'--	'--	c24e89c5-a0c4-4570-bce4-55e066b3c5ae	'--	Repli-G (Qiagen) DNA	'--	'--	'--	Repli-G	Yes	'--	'--	'--	released	TCGA-DH-A66D-10A-01W	'--
TCGA-LGG	f005fa99-7e4e-4308-b11c-83b25683b1fd	TCGA-DH-A66D	e83b9444-2a56-454b-8b52-15841b7184a1	TCGA-DH-A66D-01A	fd790599-c23f-4b70-8284-e3577178b29a	TCGA-DH-A66D-01A-11	'--	'--	48d3af88-2f71-4aa4-8291-3de480e91480	'--	Repli-G (Qiagen) DNA	'--	'--	'--	Repli-G	Yes	'--	'--	'--	released	TCGA-DH-A66D-01A-11W	'--
TCGA-LGG	f005fa99-7e4e-4308-b11c-83b25683b1fd	TCGA-DH-A66D	e83b9444-2a56-454b-8b52-15841b7184a1	TCGA-DH-A66D-01A	fd790599-c23f-4b70-8284-e3577178b29a	TCGA-DH-A66D-01A-11	1.84	'--	b43b8a56-8528-48ef-bb5b-a21b99e77115	'--	RNA	'--	0.16	'--	mirVana (Allprep DNA) RNA	Yes	1.36	9.1	UV Spec	released	TCGA-DH-A66D-01A-11R	'--
TCGA-LGG	f005fa99-7e4e-4308-b11c-83b25683b1fd	TCGA-DH-A66D	e83b9444-2a56-454b-8b52-15841b7184a1	TCGA-DH-A66D-01A	fd790599-c23f-4b70-8284-e3577178b29a	TCGA-DH-A66D-01A-11	'--	'--	c2be8a93-c936-4552-9283-b3a7c17b6c58	'--	DNA	'--	0.15	'--	aDNA Preparation Type	Yes	'--	'--	PicoGreen	released	TCGA-DH-A66D-01A-11D	'--
TCGA-LGG	ddfd76dc-15d6-4efc-85ea-31674161ebf3	TCGA-DU-5871	2ebef950-54c8-4635-bfe7-d3af0ca692bf	TCGA-DU-5871-10A	95f87ecd-dd09-42ab-bf2a-d0f27e7ab82b	TCGA-DU-5871-10A-01	'--	'--	122477a5-0b71-4041-bb88-65fc2dd0b6ee	'--	Repli-G (Qiagen) DNA	'--	0.5	'--	Repli-G	Yes	'--	'--	UV Spec	released	TCGA-DU-5871-10A-01W	'--
TCGA-LGG	ddfd76dc-15d6-4efc-85ea-31674161ebf3	TCGA-DU-5871	2ebef950-54c8-4635-bfe7-d3af0ca692bf	TCGA-DU-5871-10A	95f87ecd-dd09-42ab-bf2a-d0f27e7ab82b	TCGA-DU-5871-10A-01	1.9	'--	65b56778-859c-4000-b5e9-ec1bc3b787fb	'--	DNA	'--	0.15	'--	Pre-extracted DNA received by TSS	Yes	'--	'--	UV Spec	released	TCGA-DU-5871-10A-01D	'--
TCGA-LGG	ddfd76dc-15d6-4efc-85ea-31674161ebf3	TCGA-DU-5871	85df37a7-8752-4a2e-831f-5ce639ce9190	TCGA-DU-5871-01A	264c57d0-a310-4bbb-a77c-961320f21564	TCGA-DU-5871-01A-12	'--	'--	872491fa-1916-420d-83e7-0f7d3dab3887	'--	Repli-G (Qiagen) DNA	'--	0.5	'--	Repli-G	Yes	'--	'--	UV Spec	released	TCGA-DU-5871-01A-12W	'--
