method,acs_anatomic_only,acs_full_database,delta,rank_anatomic_only,rank_full_database,rank_change
scdc,0.8769230769230769,0.8769230769230769,0.0,1.5,1.5,0.0
scdc_ensemble,0.8769230769230769,0.8769230769230769,0.0,1.5,1.5,0.0
nnls,0.8,0.8,0.0,5.0,4.5,-0.5
svr,0.8,0.8,0.0,5.0,4.5,-0.5
music,0.8,0.8,0.0,5.0,4.5,-0.5
elastic_net,0.8,0.8,0.0,5.0,4.5,-0.5
bisque,0.8,0.7384615384615385,-0.06153846153846154,5.0,7.0,2.0
dwls,0.7384615384615385,0.7076923076923077,-0.03076923076923077,8.0,8.0,0.0
bayesian,0.6153846153846154,0.6153846153846154,0.0,9.0,9.0,0.0
bayesian_hierarchical,0.5846153846153846,0.5846153846153846,0.0,10.5,10.5,0.0
control_shuffled_signature,0.5846153846153846,0.5846153846153846,0.0,10.5,10.5,0.0
control_random,0.4,0.3384615384615385,-0.06153846153846154,12.0,12.0,0.0
