method,constraint,description,cell_type,weight,n_tumors_evaluable,n_satisfied,fraction_satisfied
nnls,C1,Tumor: CT > LE,Tumor,1.0,8,8,1.0
nnls,C2,Oligodendrocyte: LE > CT,Oligodendrocyte,1.0,8,8,1.0
nnls,C3,Endothelial: MVP > CT,Endothelial,1.0,9,9,1.0
nnls,C4,Endothelial: MVP is the maximum,Endothelial,1.0,9,9,1.0
nnls,C5,Macrophage_Microglia: PAN > LE,Macrophage_Microglia,1.0,6,6,1.0
nnls,C6,Macrophage_Microglia: MVP > CT,Macrophage_Microglia,1.0,9,0,0.0
nnls,C7,Tumor: LE < IT < CT,Tumor,2.0,8,6,0.75
svr,C1,Tumor: CT > LE,Tumor,1.0,8,8,1.0
svr,C2,Oligodendrocyte: LE > CT,Oligodendrocyte,1.0,8,8,1.0
svr,C3,Endothelial: MVP > CT,Endothelial,1.0,9,9,1.0
svr,C4,Endothelial: MVP is the maximum,Endothelial,1.0,9,9,1.0
svr,C5,Macrophage_Microglia: PAN > LE,Macrophage_Microglia,1.0,6,5,0.8333333333333334
svr,C6,Macrophage_Microglia: MVP > CT,Macrophage_Microglia,1.0,9,3,0.3333333333333333
svr,C7,Tumor: LE < IT < CT,Tumor,2.0,8,5,0.625
elastic_net,C1,Tumor: CT > LE,Tumor,1.0,8,8,1.0
elastic_net,C2,Oligodendrocyte: LE > CT,Oligodendrocyte,1.0,8,8,1.0
elastic_net,C3,Endothelial: MVP > CT,Endothelial,1.0,9,9,1.0
elastic_net,C4,Endothelial: MVP is the maximum,Endothelial,1.0,9,9,1.0
elastic_net,C5,Macrophage_Microglia: PAN > LE,Macrophage_Microglia,1.0,6,6,1.0
elastic_net,C6,Macrophage_Microglia: MVP > CT,Macrophage_Microglia,1.0,9,0,0.0
elastic_net,C7,Tumor: LE < IT < CT,Tumor,2.0,8,6,0.75
bayesian,C1,Tumor: CT > LE,Tumor,1.0,8,3,0.375
bayesian,C2,Oligodendrocyte: LE > CT,Oligodendrocyte,1.0,8,8,1.0
bayesian,C3,Endothelial: MVP > CT,Endothelial,1.0,9,9,1.0
bayesian,C4,Endothelial: MVP is the maximum,Endothelial,1.0,9,9,1.0
bayesian,C5,Macrophage_Microglia: PAN > LE,Macrophage_Microglia,1.0,6,6,1.0
bayesian,C6,Macrophage_Microglia: MVP > CT,Macrophage_Microglia,1.0,9,1,0.1111111111111111
bayesian,C7,Tumor: LE < IT < CT,Tumor,2.0,8,2,0.25
bayesian_hierarchical,C1,Tumor: CT > LE,Tumor,1.0,8,3,0.375
bayesian_hierarchical,C2,Oligodendrocyte: LE > CT,Oligodendrocyte,1.0,8,8,1.0
bayesian_hierarchical,C3,Endothelial: MVP > CT,Endothelial,1.0,9,9,1.0
bayesian_hierarchical,C4,Endothelial: MVP is the maximum,Endothelial,1.0,9,9,1.0
bayesian_hierarchical,C5,Macrophage_Microglia: PAN > LE,Macrophage_Microglia,1.0,6,6,1.0
bayesian_hierarchical,C6,Macrophage_Microglia: MVP > CT,Macrophage_Microglia,1.0,9,1,0.1111111111111111
bayesian_hierarchical,C7,Tumor: LE < IT < CT,Tumor,2.0,8,1,0.125
music,C1,Tumor: CT > LE,Tumor,1.0,8,8,1.0
music,C2,Oligodendrocyte: LE > CT,Oligodendrocyte,1.0,8,8,1.0
music,C3,Endothelial: MVP > CT,Endothelial,1.0,9,9,1.0
music,C4,Endothelial: MVP is the maximum,Endothelial,1.0,9,9,1.0
music,C5,Macrophage_Microglia: PAN > LE,Macrophage_Microglia,1.0,6,6,1.0
music,C6,Macrophage_Microglia: MVP > CT,Macrophage_Microglia,1.0,9,0,0.0
music,C7,Tumor: LE < IT < CT,Tumor,2.0,8,6,0.75
dwls,C1,Tumor: CT > LE,Tumor,1.0,8,4,0.5
dwls,C2,Oligodendrocyte: LE > CT,Oligodendrocyte,1.0,8,8,1.0
dwls,C3,Endothelial: MVP > CT,Endothelial,1.0,9,9,1.0
dwls,C4,Endothelial: MVP is the maximum,Endothelial,1.0,9,9,1.0
dwls,C5,Macrophage_Microglia: PAN > LE,Macrophage_Microglia,1.0,6,5,0.8333333333333334
dwls,C6,Macrophage_Microglia: MVP > CT,Macrophage_Microglia,1.0,9,7,0.7777777777777778
dwls,C7,Tumor: LE < IT < CT,Tumor,2.0,8,3,0.375
bisque,C1,Tumor: CT > LE,Tumor,1.0,8,8,1.0
bisque,C2,Oligodendrocyte: LE > CT,Oligodendrocyte,1.0,8,8,1.0
bisque,C3,Endothelial: MVP > CT,Endothelial,1.0,9,8,0.8888888888888888
bisque,C4,Endothelial: MVP is the maximum,Endothelial,1.0,9,8,0.8888888888888888
bisque,C5,Macrophage_Microglia: PAN > LE,Macrophage_Microglia,1.0,6,6,1.0
bisque,C6,Macrophage_Microglia: MVP > CT,Macrophage_Microglia,1.0,9,2,0.2222222222222222
bisque,C7,Tumor: LE < IT < CT,Tumor,2.0,8,6,0.75
scdc,C1,Tumor: CT > LE,Tumor,1.0,8,8,1.0
scdc,C2,Oligodendrocyte: LE > CT,Oligodendrocyte,1.0,8,8,1.0
scdc,C3,Endothelial: MVP > CT,Endothelial,1.0,9,9,1.0
scdc,C4,Endothelial: MVP is the maximum,Endothelial,1.0,9,9,1.0
scdc,C5,Macrophage_Microglia: PAN > LE,Macrophage_Microglia,1.0,6,6,1.0
scdc,C6,Macrophage_Microglia: MVP > CT,Macrophage_Microglia,1.0,9,7,0.7777777777777778
scdc,C7,Tumor: LE < IT < CT,Tumor,2.0,8,5,0.625
scdc_ensemble,C1,Tumor: CT > LE,Tumor,1.0,8,8,1.0
scdc_ensemble,C2,Oligodendrocyte: LE > CT,Oligodendrocyte,1.0,8,8,1.0
scdc_ensemble,C3,Endothelial: MVP > CT,Endothelial,1.0,9,9,1.0
scdc_ensemble,C4,Endothelial: MVP is the maximum,Endothelial,1.0,9,9,1.0
scdc_ensemble,C5,Macrophage_Microglia: PAN > LE,Macrophage_Microglia,1.0,6,6,1.0
scdc_ensemble,C6,Macrophage_Microglia: MVP > CT,Macrophage_Microglia,1.0,9,7,0.7777777777777778
scdc_ensemble,C7,Tumor: LE < IT < CT,Tumor,2.0,8,5,0.625
control_random,C1,Tumor: CT > LE,Tumor,1.0,8,5,0.625
control_random,C2,Oligodendrocyte: LE > CT,Oligodendrocyte,1.0,8,3,0.375
control_random,C3,Endothelial: MVP > CT,Endothelial,1.0,9,7,0.7777777777777778
control_random,C4,Endothelial: MVP is the maximum,Endothelial,1.0,9,4,0.4444444444444444
control_random,C5,Macrophage_Microglia: PAN > LE,Macrophage_Microglia,1.0,6,2,0.3333333333333333
control_random,C6,Macrophage_Microglia: MVP > CT,Macrophage_Microglia,1.0,9,5,0.5555555555555556
control_random,C7,Tumor: LE < IT < CT,Tumor,2.0,8,0,0.0
control_shuffled_signature,C1,Tumor: CT > LE,Tumor,1.0,8,8,1.0
control_shuffled_signature,C2,Oligodendrocyte: LE > CT,Oligodendrocyte,1.0,8,3,0.375
control_shuffled_signature,C3,Endothelial: MVP > CT,Endothelial,1.0,9,6,0.6666666666666666
control_shuffled_signature,C4,Endothelial: MVP is the maximum,Endothelial,1.0,9,0,0.0
control_shuffled_signature,C5,Macrophage_Microglia: PAN > LE,Macrophage_Microglia,1.0,6,4,0.6666666666666666
control_shuffled_signature,C6,Macrophage_Microglia: MVP > CT,Macrophage_Microglia,1.0,9,1,0.1111111111111111
control_shuffled_signature,C7,Tumor: LE < IT < CT,Tumor,2.0,8,8,1.0
