method,tumor_id,n_constraints_evaluable,n_satisfied,weight_evaluated,weight_satisfied,acs,constraints_satisfied,constraints_violated
nnls,292163427,6,6,7.0,7.0,1.0,"C1,C2,C3,C4,C6,C7",
nnls,703393,7,7,8.0,8.0,1.0,"C1,C2,C3,C4,C5,C6,C7",
nnls,703493,7,7,8.0,8.0,1.0,"C1,C2,C3,C4,C5,C6,C7",
nnls,705757,7,7,8.0,8.0,1.0,"C1,C2,C3,C4,C5,C6,C7",
nnls,705758,7,7,8.0,8.0,1.0,"C1,C2,C3,C4,C5,C6,C7",
nnls,705803,7,6,8.0,7.0,0.875,"C1,C2,C3,C4,C6,C7",C5
nnls,705859,7,7,8.0,8.0,1.0,"C1,C2,C3,C4,C5,C6,C7",
nnls,711547,6,6,7.0,7.0,1.0,"C1,C2,C3,C4,C6,C7",
nnls,711560,3,3,3.0,3.0,1.0,"C3,C4,C6",
svr,292163427,6,6,7.0,7.0,1.0,"C1,C2,C3,C4,C6,C7",
svr,703393,7,7,8.0,8.0,1.0,"C1,C2,C3,C4,C5,C6,C7",
svr,703493,7,7,8.0,8.0,1.0,"C1,C2,C3,C4,C5,C6,C7",
svr,705757,7,7,8.0,8.0,1.0,"C1,C2,C3,C4,C5,C6,C7",
svr,705758,7,7,8.0,8.0,1.0,"C1,C2,C3,C4,C5,C6,C7",
svr,705803,7,6,8.0,7.0,0.875,"C1,C2,C3,C4,C6,C7",C5
svr,705859,7,7,8.0,8.0,1.0,"C1,C2,C3,C4,C5,C6,C7",
svr,711547,6,6,7.0,7.0,1.0,"C1,C2,C3,C4,C6,C7",
svr,711560,3,3,3.0,3.0,1.0,"C3,C4,C6",
elastic_net,292163427,6,6,7.0,7.0,1.0,"C1,C2,C3,C4,C6,C7",
elastic_net,703393,7,7,8.0,8.0,1.0,"C1,C2,C3,C4,C5,C6,C7",
elastic_net,703493,7,7,8.0,8.0,1.0,"C1,C2,C3,C4,C5,C6,C7",
elastic_net,705757,7,7,8.0,8.0,1.0,"C1,C2,C3,C4,C5,C6,C7",
elastic_net,705758,7,7,8.0,8.0,1.0,"C1,C2,C3,C4,C5,C6,C7",
elastic_net,705803,7,6,8.0,7.0,0.875,"C1,C2,C3,C4,C6,C7",C5
elastic_net,705859,7,7,8.0,8.0,1.0,"C1,C2,C3,C4,C5,C6,C7",
elastic_net,711547,6,6,7.0,7.0,1.0,"C1,C2,C3,C4,C6,C7",
elastic_net,711560,3,3,3.0,3.0,1.0,"C3,C4,C6",
bayesian,292163427,6,6,7.0,7.0,1.0,"C1,C2,C3,C4,C6,C7",
bayesian,703393,7,4,8.0,4.0,0.5,"C2,C3,C4,C5","C1,C6,C7"
bayesian,703493,7,4,8.0,4.0,0.5,"C2,C3,C4,C5","C1,C6,C7"
bayesian,705757,7,7,8.0,8.0,1.0,"C1,C2,C3,C4,C5,C6,C7",
bayesian,705758,7,5,8.0,5.0,0.625,"C1,C2,C3,C4,C5","C6,C7"
bayesian,705803,7,6,8.0,7.0,0.875,"C1,C2,C3,C4,C5,C7",C6
bayesian,705859,7,5,8.0,5.0,0.625,"C2,C3,C4,C5,C6","C1,C7"
bayesian,711547,6,6,7.0,7.0,1.0,"C1,C2,C3,C4,C6,C7",
bayesian,711560,3,3,3.0,3.0,1.0,"C3,C4,C6",
bayesian_hierarchical,292163427,6,6,7.0,7.0,1.0,"C1,C2,C3,C4,C6,C7",
bayesian_hierarchical,703393,7,4,8.0,4.0,0.5,"C2,C3,C4,C5","C1,C6,C7"
bayesian_hierarchical,703493,7,4,8.0,4.0,0.5,"C2,C3,C4,C5","C1,C6,C7"
bayesian_hierarchical,705757,7,7,8.0,8.0,1.0,"C1,C2,C3,C4,C5,C6,C7",
bayesian_hierarchical,705758,7,5,8.0,5.0,0.625,"C1,C2,C3,C4,C5","C6,C7"
bayesian_hierarchical,705803,7,6,8.0,7.0,0.875,"C1,C2,C3,C4,C5,C7",C6
bayesian_hierarchical,705859,7,5,8.0,5.0,0.625,"C2,C3,C4,C5,C6","C1,C7"
bayesian_hierarchical,711547,6,6,7.0,7.0,1.0,"C1,C2,C3,C4,C6,C7",
bayesian_hierarchical,711560,3,3,3.0,3.0,1.0,"C3,C4,C6",
music,292163427,6,6,7.0,7.0,1.0,"C1,C2,C3,C4,C6,C7",
music,703393,7,7,8.0,8.0,1.0,"C1,C2,C3,C4,C5,C6,C7",
music,703493,7,7,8.0,8.0,1.0,"C1,C2,C3,C4,C5,C6,C7",
music,705757,7,7,8.0,8.0,1.0,"C1,C2,C3,C4,C5,C6,C7",
music,705758,7,7,8.0,8.0,1.0,"C1,C2,C3,C4,C5,C6,C7",
music,705803,7,7,8.0,8.0,1.0,"C1,C2,C3,C4,C5,C6,C7",
music,705859,7,7,8.0,8.0,1.0,"C1,C2,C3,C4,C5,C6,C7",
