method,acs,truth,yardstick,acs_rank,truth_rank,rank_gap
music,1.0,0.047306151536365,synthetic_mixtures,1.0,1.0,0.0
elastic_net,0.9846153846153847,0.054849168791502,synthetic_mixtures,3.0,2.0,1.0
nnls,0.9846153846153847,0.0563498554877412,synthetic_mixtures,3.0,3.0,0.0
svr,0.9846153846153847,0.0594934511797593,synthetic_mixtures,3.0,4.0,1.0
dwls,0.8769230769230769,0.0741225112232134,synthetic_mixtures,8.0,5.0,3.0
bisque,0.9230769230769231,0.075511291291014,synthetic_mixtures,7.0,6.0,1.0
scdc_ensemble,0.9538461538461539,0.0807812052263818,synthetic_mixtures,5.5,7.5,2.0
scdc,0.9538461538461539,0.0807812052263818,synthetic_mixtures,5.5,7.5,2.0
bayesian,0.7692307692307693,0.0964315599537171,synthetic_mixtures,9.5,9.0,0.5
bayesian_hierarchical,0.7692307692307693,0.0973687705178603,synthetic_mixtures,9.5,10.0,0.5
