method,n_patients,n_events,c_index_baseline,c_index_with_composition,delta_c_index,c_index_sd,n_repeats,status,interpretation,composition_source,event_policy
bayesian_hierarchical,29,29,0.4841975308641975,0.6841975308641975,0.20000000000000007,0.020103375574651715,10,OK,INCONCLUSIVE (cohort supports detecting ~0.515; not used for ranking),full_database (all archive samples deconvolved),observed-time-is-death
nnls,29,29,0.4841975308641975,0.6518518518518519,0.16765432098765443,0.03312693299999688,10,OK,INCONCLUSIVE (cohort supports detecting ~0.515; not used for ranking),full_database (all archive samples deconvolved),observed-time-is-death
music,29,29,0.4841975308641975,0.6518518518518519,0.16765432098765443,0.03312693299999688,10,OK,INCONCLUSIVE (cohort supports detecting ~0.515; not used for ranking),full_database (all archive samples deconvolved),observed-time-is-death
scdc,29,29,0.4841975308641975,0.6441975308641975,0.16000000000000003,0.024404506593701063,10,OK,INCONCLUSIVE (cohort supports detecting ~0.515; not used for ranking),full_database (all archive samples deconvolved),observed-time-is-death
scdc_ensemble,29,29,0.4841975308641975,0.6441975308641975,0.16000000000000003,0.024404506593701063,10,OK,INCONCLUSIVE (cohort supports detecting ~0.515; not used for ranking),full_database (all archive samples deconvolved),observed-time-is-death
bisque,29,29,0.4841975308641975,0.6155555555555556,0.13135802469135816,0.028088522509808648,10,OK,INCONCLUSIVE (cohort supports detecting ~0.515; not used for ranking),full_database (all archive samples deconvolved),observed-time-is-death
bayesian,29,29,0.4841975308641975,0.5888888888888888,0.10469135802469132,0.03088394430033849,10,OK,INCONCLUSIVE (cohort supports detecting ~0.515; not used for ranking),full_database (all archive samples deconvolved),observed-time-is-death
svr,29,29,0.4841975308641975,0.5854320987654321,0.10123456790123464,0.019643212941430923,10,OK,INCONCLUSIVE (cohort supports detecting ~0.515; not used for ranking),full_database (all archive samples deconvolved),observed-time-is-death
elastic_net,29,29,0.4841975308641975,0.5849382716049384,0.10074074074074091,0.03556669921392244,10,OK,INCONCLUSIVE (cohort supports detecting ~0.515; not used for ranking),full_database (all archive samples deconvolved),observed-time-is-death
dwls,29,29,0.4841975308641975,0.4367901234567901,-0.0474074074074074,0.027769820533806205,10,OK,INCONCLUSIVE (cohort supports detecting ~0.515; not used for ranking),full_database (all archive samples deconvolved),observed-time-is-death
