sample_id,Tumor,Macrophage_Microglia,T_cell,NK_cell,B_cell,Endothelial,Oligodendrocyte,Astrocyte
mix00000,0.000252764275055917,0.998649112929724,1.1348388816621603e-05,0.00040243188014244994,0.0004286830269891948,5.274235899054016e-06,0.00015217380799331477,9.82114553795174e-05
mix00001,1.463467841695454e-07,0.7976705786870109,0.11670647677711306,0.08562050115760564,2.0361637364624222e-06,1.9774020122439884e-07,3.866831536672831e-08,2.4459233211861534e-08
mix00002,0.3768689134574612,1.0079338211842467e-06,4.938751273213601e-09,0.019899111098080003,0.06528732525648193,0.006695443438894919,0.12535983427816055,0.4058883595983489
mix00003,8.382808022834334e-08,0.5899381279523319,0.3508499037627008,0.05920755171202742,3.3208505790909097e-06,2.8072810303325448e-08,4.9749309580063515e-08,9.340721607288219e-07
mix00004,0.242068840088809,0.3448598011629423,1.4851989073649367e-06,4.0483137136494484e-07,0.0003279445976054571,0.22488520401325784,0.0424963920669616,0.14535992804014503
mix00005,0.36030797892918626,0.5318257473033056,1.0882526507736888e-08,1.0857816896154044e-07,2.1859391981981746e-06,0.008134697123291108,0.00022426773602007166,0.09950500350830323
mix00006,0.5004667240339082,0.3767378681500274,9.776155938035805e-07,1.8940824688324616e-07,8.742757843261603e-08,4.010087990446375e-05,7.69150437747648e-05,0.12267713744096612
mix00007,0.0697747713211542,0.03042920287619278,2.904563853241732e-06,3.6068622152421057e-06,1.1105379740457943e-06,0.025412325800230527,0.8615123463577535,0.012863731680626413
mix00008,0.2655842358846401,0.13605869707231594,9.665331586115364e-07,9.279900656145496e-07,8.983347209355636e-06,0.011018195690128801,0.5861482502253134,0.0011797432571683626
mix00009,0.09880364512533352,0.10107186850847218,1.2350491959745438e-05,0.000169339681872153,1.4032059548318567e-05,0.008331376695077981,0.5322008677928137,0.2593965196449225
mix00010,2.397528937553795e-05,0.0459700522817594,0.5848083901344246,0.36891874953859816,0.00013777282355440223,0.00013486113355565615,6.143838991724263e-06,5.49597404985852e-08
mix00011,0.4617224797126324,0.44515209302919095,1.1855226999050215e-08,3.3201104164572037e-06,8.63973470090645e-09,0.01745936809203705,0.07566270155001743,1.7010744162292516e-08
mix00012,0.2005739313491523,0.49181817121810834,2.55081667563902e-08,0.08904451493428435,3.082232714302113e-06,0.09102260364120832,0.12753264198999406,5.0291263715724265e-06
mix00013,0.04055784889983948,0.9412370935440101,8.932220840208366e-07,3.9222914061920245e-08,1.5935591786989167e-08,0.00010440984344438566,4.562697161855999e-08,0.01809965370514443
mix00014,1.697069944485018e-07,0.9545263566187968,7.367890731742669e-07,0.045470910424106906,5.894547592556181e-07,8.670391580932702e-07,3.6896152526661835e-07,1.0055862837579363e-09
mix00015,3.8918772593331064e-06,0.07084019137597809,0.07406171149470334,0.15003618406821395,0.3117020788097879,2.3303758742029714e-08,0.39335587424170937,4.482858915931341e-08
mix00016,0.3587029242774643,0.27125619701508585,0.014285724651771812,1.4176277293454401e-07,3.182848893222213e-07,0.06332554033989775,0.2857268867504973,0.006702266917620582
mix00017,1.2306792257743042e-08,0.6901744408607895,0.30982234266240594,4.52199091728706e-07,1.0602983312696295e-06,2.0461283647947027e-07,1.7886835567216335e-08,1.4691729170449728e-06
mix00018,0.12130020161968197,3.7612392611433837e-06,0.6291203560576074,0.23453678239160228,1.8154774312723165e-05,3.9685069620075655e-06,4.677778507092489e-05,0.014969997625501625
mix00019,0.1343476599794689,0.2695480937597652,1.1706783688157673e-08,6.316792498084725e-06,2.2669243250622405e-08,0.02906734458596923,0.3864572936311165,0.18057325687515507
mix00020,6.67646249229429e-05,0.3007726906775904,0.15582588522531282,0.24338305226992032,0.299903176223689,4.821053485901417e-05,9.279496505495506e-08,1.2764874039938497e-07
mix00021,1.3295460946487227e-06,0.3733063600301899,0.2527189942796722,0.37392893382835285,4.261769123280912e-06,2.539666315578801e-05,1.4221733122742247e-05,5.021502886046191e-07
mix00022,0.32513388038056146,0.27526726699034904,7.1573887244847345e-06,3.07427910348663e-05,2.6414290308025704e-07,0.011226349495698585,0.31388960258867343,0.07444473622205501
mix00023,0.000710142233541241,1.4433104541185264e-05,0.15721470367853915,0.15082036319708536,1.4254831028607529e-05,0.11444533391182728,0.5767665537878904,1.4215255546707117e-05
