method,acs,truth,yardstick,acs_rank,truth_rank,rank_gap
music,1.0,0.0508079833622188,synthetic_mixtures,1.0,1.0,0.0
elastic_net,0.9846153846153847,0.0550511106016813,synthetic_mixtures,3.5,2.0,1.5
nnls,0.9846153846153847,0.0560644504263521,synthetic_mixtures,3.5,3.0,0.5
bayesprism,0.8769230769230769,0.0584887404287154,synthetic_mixtures,10.0,4.0,6.0
cibersortx,0.9692307692307692,0.0608130461663111,synthetic_mixtures,6.0,5.0,1.0
svr,0.9846153846153847,0.0609589956529435,synthetic_mixtures,3.5,6.0,2.5
epic,0.9846153846153847,0.0658973227735724,synthetic_mixtures,3.5,7.0,3.5
bisque,0.9230769230769231,0.0740870550104886,synthetic_mixtures,9.0,8.0,1.0
dwls,0.7384615384615385,0.0763277193673236,synthetic_mixtures,13.0,9.0,4.0
scdc,0.9538461538461539,0.0834516899063729,synthetic_mixtures,7.5,10.5,3.0
scdc_ensemble,0.9538461538461539,0.0834516899063729,synthetic_mixtures,7.5,10.5,3.0
bayesian,0.7692307692307693,0.0991434458734812,synthetic_mixtures,11.5,12.0,0.5
bayesian_hierarchical,0.7692307692307693,0.1000820574892848,synthetic_mixtures,11.5,13.0,1.5
