HUGO symbols	Cell population
SLC1A2	Astrocyte
SPARCL1	Astrocyte
CPE	Astrocyte
ALDOC	Astrocyte
CLU	Astrocyte
SLC1A3	Astrocyte
AQP4	Astrocyte
ATP1A2	Astrocyte
GLUL	Astrocyte
ETNPPL	Astrocyte
NTRK2	Astrocyte
SERPINA3	Astrocyte
AGT	Astrocyte
SERPINE2	Astrocyte
ADGRV1	Astrocyte
PLPP3	Astrocyte
MGST1	Astrocyte
GPM6A	Astrocyte
DKK3	Astrocyte
FAM107A	Astrocyte
TSPAN7	Astrocyte
GPRC5B	Astrocyte
ITM2C	Astrocyte
WIF1	Astrocyte
GJA1	Astrocyte
NDRG2	Astrocyte
CXCL8	Astrocyte
IGFBP7	Astrocyte
F3	Astrocyte
CLDN10	Astrocyte
ATP1B2	Astrocyte
CST3	Astrocyte
AHCYL1	Astrocyte
CSRP1	Astrocyte
TTYH1	Astrocyte
TPD52L1	Astrocyte
DTNA	Astrocyte
GJB6	Astrocyte
PTGDS	Astrocyte
GRAMD2B	Astrocyte
GPR37L1	Astrocyte
HTRA1	Astrocyte
SCG3	Astrocyte
CNN3	Astrocyte
S100B	Astrocyte
SLC25A18	Astrocyte
MGLL	Astrocyte
TSC22D1	Astrocyte
TUBB2B	Astrocyte
GPM6B	Astrocyte
PLP1	Oligodendrocyte
PTGDS	Oligodendrocyte
PPP1R14A	Oligodendrocyte
MBP	Oligodendrocyte
TF	Oligodendrocyte
CNP	Oligodendrocyte
QDPR	Oligodendrocyte
CLDND1	Oligodendrocyte
MAG	Oligodendrocyte
APLP1	Oligodendrocyte
SELENOP	Oligodendrocyte
CLDN11	Oligodendrocyte
CRYAB	Oligodendrocyte
APOD	Oligodendrocyte
ERMN	Oligodendrocyte
CNDP1	Oligodendrocyte
TMEM144	Oligodendrocyte
S100B	Oligodendrocyte
S100A1	Oligodendrocyte
GSN	Oligodendrocyte
SCD	Oligodendrocyte
TUBB4A	Oligodendrocyte
GPM6B	Oligodendrocyte
KLK6	Oligodendrocyte
SLC44A1	Oligodendrocyte
RNASE1	Oligodendrocyte
FEZ1	Oligodendrocyte
SEPTIN4	Oligodendrocyte
MOG	Oligodendrocyte
ENPP2	Oligodendrocyte
MOBP	Oligodendrocyte
EDIL3	Oligodendrocyte
CAMK2N1	Oligodendrocyte
ATP1B1	Oligodendrocyte
SLAIN1	Oligodendrocyte
PLAAT3	Oligodendrocyte
LARP6	Oligodendrocyte
CA2	Oligodendrocyte
ABCA2	Oligodendrocyte
LHPP	Oligodendrocyte
NKX6-2	Oligodendrocyte
ANLN	Oligodendrocyte
PIP4K2A	Oligodendrocyte
PLEKHB1	Oligodendrocyte
PLLP	Oligodendrocyte
AMER2	Oligodendrocyte
EFHD1	Oligodendrocyte
MAL	Oligodendrocyte
TTLL7	Oligodendrocyte
CNTN2	Oligodendrocyte
APOD	OPC
VCAN	OPC
ALDOC	OPC
HTRA1	OPC
BCAN	OPC
TSPAN7	OPC
PLLP	OPC
SCD5	OPC
MEG3	OPC
CDR1	OPC
PTPRZ1	OPC
SPOCK1	OPC
TNR	OPC
DNER	OPC
PDZD2	OPC
MEGF11	OPC
NRCAM	OPC
TSC22D1	OPC
GPR17	OPC
SLC22A17	OPC
SULF2	OPC
EPN2	OPC
OLIG1	OPC
PDGFRA	OPC
GPRC5B	OPC
SLC1A2	OPC
SEMA5A	OPC
ATCAY	OPC
ZNF462	OPC
SERPINE2	OPC
CSPG4	OPC
NCAM1	OPC
CD82	OPC
SNX22	OPC
OMG	OPC
FXYD6	OPC
HIP1R	OPC
SDC3	OPC
GPR37L1	OPC
GPM6A	OPC
CHL1	OPC
LHFPL3	OPC
SMOC1	OPC
GRIA2	OPC
SLC6A1	OPC
MTSS1	OPC
CA10	OPC
MSMO1	OPC
SLC35F1	OPC
THY1	OPC
CXCL14	Neuron
MEG3	Neuron
CCK	Neuron
SNAP25	Neuron
RTN1	Neuron
CDR1	Neuron
TMEM130	Neuron
GAD1	Neuron
SCG2	Neuron
ALDOC	Neuron
TSPAN7	Neuron
CALB2	Neuron
SLC6A1	Neuron
SYNPR	Neuron
CNTNAP2	Neuron
NDRG4	Neuron
SYT1	Neuron
ENO2	Neuron
FXYD6	Neuron
DKK3	Neuron
NAP1L3	Neuron
FAIM2	Neuron
TUBB2A	Neuron
SPOCK1	Neuron
SLC22A17	Neuron
TUBB4A	Neuron
DNER	Neuron
UCHL1	Neuron
SCG5	Neuron
SYNGR3	Neuron
RCAN2	Neuron
RELN	Neuron
CAMK2B	Neuron
TAGLN3	Neuron
THY1	Neuron
MAP1B	Neuron
TSC22D1	Neuron
OLFM1	Neuron
STMN1	Neuron
TSPYL2	Neuron
ATP1B1	Neuron
CYFIP2	Neuron
RPH3A	Neuron
GAD2	Neuron
MAP1A	Neuron
PHYHIPL	Neuron
KIF1A	Neuron
DPP6	Neuron
SCN2A	Neuron
PCLO	Neuron
SOX4	Radial glial
HES1	Radial glial
H2AZ1	Radial glial
EMX2	Radial glial
MIR9-1HG	Radial glial
H4C3	Radial glial
HMGB2	Radial glial
STMN1	Radial glial
CENPW	Radial glial
TUBB	Radial glial
TUBA1A	Radial glial
LINC01551	Radial glial
PTTG1	Radial glial
PCLAF	Radial glial
CENPF	Radial glial
HMGB3	Radial glial
TMSB15A	Radial glial
KPNA2	Radial glial
TMEM161B-AS1	Radial glial
FABP7	Radial glial
SOX11	Radial glial
TOP2A	Radial glial
TUBA1B	Radial glial
CKS1B	Radial glial
NUSAP1	Radial glial
UBE2T	Radial glial
TAGLN3	Radial glial
KNOP1	Radial glial
RBM4	Radial glial
HSP90AA1	Radial glial
LIX1	Radial glial
STMN4	Radial glial
PEG10	Radial glial
CSRP2	Radial glial
CCNB2	Radial glial
NNAT	Radial glial
PHGDH	Radial glial
