HUGO symbols	Cell population
CST3	AC
S100B	AC
SLC1A3	AC
HEPN1	AC
HOPX	AC
MT3	AC
SPARCL1	AC
MLC1	AC
GFAP	AC
FABP7	AC
BCAN	AC
PON2	AC
METTL7B	AC
SPARC	AC
GATM	AC
RAMP1	AC
PMP2	AC
AQP4	AC
DBI	AC
EDNRB	AC
PTPRZ1	AC
CLU	AC
PMP22	AC
ATP1A2	AC
S100A16	AC
HEY1	AC
PCDHGC3	AC
TTYH1	AC
NDRG2	AC
PRCP	AC
ATP1B2	AC
AGT	AC
PLTP	AC
GPM6B	AC
F3	AC
RAB31	AC
PPAP2B	AC
ANXA5	AC
TSPAN7	AC
CHI3L1	MES
ANXA2	MES
ANXA1	MES
CD44	MES
VIM	MES
MT2A	MES
C1S	MES
NAMPT	MES
EFEMP1	MES
C1R	MES
SOD2	MES
IFITM3	MES
TIMP1	MES
SPP1	MES
A2M	MES
S100A11	MES
MT1X	MES
S100A10	MES
FN1	MES
LGALS1	MES
S100A16	MES
CLIC1	MES
MGST1	MES
RCAN1	MES
TAGLN2	MES
NPC2	MES
SERPING1	MES
C8orf4	MES
EMP1	MES
APOE	MES
CTSB	MES
C3	MES
LGALS3	MES
MT1E	MES
EMP3	MES
SERPINA3	MES
ACTN1	MES
PRDX6	MES
IGFBP7	MES
SERPINE1	MES
PLP2	MES
MGP	MES
CLIC4	MES
GFPT2	MES
GSN	MES
NNMT	MES
TUBA1C	MES
GJA1	MES
TNFRSF1A	MES
WWTR1	MES
HILPDA	MES
ADM	MES
DDIT3	MES
NDRG1	MES
HERPUD1	MES
DNAJB9	MES
TRIB3	MES
ENO2	MES
AKAP12	MES
SQSTM1	MES
ATF3	MES
NRN1	MES
SLC2A1	MES
BNIP3	MES
INSIG2	MES
IGFBP3	MES
PPP1R15A	MES
PLOD2	MES
GBE1	MES
SLC2A3	MES
FTL	MES
WARS	MES
ERO1L	MES
XPOT	MES
HSPA5	MES
GDF15	MES
EPAS1	MES
LDHA	MES
P4HA1	MES
SERTAD1	MES
PFKP	MES
PGK1	MES
EGLN3	MES
SLC6A6	MES
CA9	MES
BNIP3L	MES
RPL21	MES
TRAM1	MES
UFM1	MES
ASNS	MES
GOLT1B	MES
ANGPTL4	MES
SLC39A14	MES
CDKN1A	MES
HSPA9	MES
DLL3	NPC
DLL1	NPC
SOX4	NPC
TUBB3	NPC
HES6	NPC
TAGLN3	NPC
NEU4	NPC
MARCKSL1	NPC
CD24	NPC
STMN1	NPC
TCF12	NPC
BEX1	NPC
OLIG1	NPC
MAP2	NPC
FXYD6	NPC
PTPRS	NPC
MLLT11	NPC
NPPA	NPC
BCAN	NPC
MEST	NPC
ASCL1	NPC
BTG2	NPC
DCX	NPC
NXPH1	NPC
HN1	NPC
PFN2	NPC
SCG3	NPC
MYT1	NPC
CHD7	NPC
GPR56	NPC
TUBA1A	NPC
PCBP4	NPC
ETV1	NPC
SHD	NPC
TNR	NPC
AMOTL2	NPC
DBN1	NPC
HIP1	NPC
ABAT	NPC
ELAVL4	NPC
LMF1	NPC
GRIK2	NPC
SERINC5	NPC
TSPAN13	NPC
ELMO1	NPC
GLCCI1	NPC
SEZ6L	NPC
LRRN1	NPC
SEZ6	NPC
SOX11	NPC
STMN2	NPC
RND3	NPC
HMP19	NPC
MIAT	NPC
NSG1	NPC
DLX6-AS1	NPC
NREP	NPC
FNBP1L	NPC
STMN4	NPC
DLX5	NPC
MAP1B	NPC
RBFOX2	NPC
IGFBPL1	NPC
TMEM161B-AS1	NPC
DPYSL3	NPC
SEPT3	NPC
PKIA	NPC
ATP1B1	NPC
DYNC1I1	NPC
CD200	NPC
SNAP25	NPC
PAK3	NPC
NDRG4	NPC
KIF5A	NPC
UCHL1	NPC
ENO2	NPC
KIF5C	NPC
DDAH2	NPC
TUBB2A	NPC
LBH	NPC
LOC150568	NPC
TCF4	NPC
GNG3	NPC
NFIB	NPC
DPYSL5	NPC
CRABP1	NPC
NFIX	NPC
CEP170	NPC
BLCAP	NPC
BCAN	OPC
PLP1	OPC
GPR17	OPC
FIBIN	OPC
LHFPL3	OPC
OLIG1	OPC
PSAT1	OPC
SCRG1	OPC
OMG	OPC
APOD	OPC
SIRT2	OPC
TNR	OPC
THY1	OPC
PHYHIPL	OPC
SOX2-OT	OPC
NKAIN4	OPC
LPPR1	OPC
PTPRZ1	OPC
VCAN	OPC
DBI	OPC
PMP2	OPC
CNP	OPC
TNS3	OPC
LIMA1	OPC
CA10	OPC
PCDHGC3	OPC
CNTN1	OPC
SCD5	OPC
P2RX7	OPC
CADM2	OPC
TTYH1	OPC
FGF12	OPC
TMEM206	OPC
NEU4	OPC
FXYD6	OPC
RNF13	OPC
RTKN	OPC
GPM6B	OPC
LMF1	OPC
ALCAM	OPC
PGRMC1	OPC
HRASLS	OPC
BCAS1	OPC
RAB31	OPC
PLLP	OPC
FABP5	OPC
NLGN3	OPC
SERINC5	OPC
EPB41L2	OPC
GPR37L1	OPC
