HUGO symbols	Cell population
CD79A	B_cell
CD79B	B_cell
CD37	B_cell
MS4A1	B_cell
BANK1	B_cell
BLK	B_cell
VPREB3	B_cell
RP5-887A10.1	B_cell
CD7	NK_cell
CCL5	NK_cell
KLRB1	NK_cell
KLRC1	NK_cell
HOPX	NK_cell
GZMB	NK_cell
APOBEC3G	NK_cell
KRT86	NK_cell
KLRD1	NK_cell
MATK	NK_cell
IL2RB	NK_cell
HCST	NK_cell
XCL2	NK_cell
XCL1	NK_cell
EVL	NK_cell
GNLY	NK_cell
TRDC	NK_cell
CD247	NK_cell
CD2	NK_cell
LCK	NK_cell
PRF1	NK_cell
CST7	NK_cell
CTSW	NK_cell
STMN1	NK_cell
GZMA	NK_cell
NKG7	NK_cell
IL32	T_cell
SIT1	T_cell
CD3D	T_cell
GIMAP7	T_cell
SPOCK2	T_cell
IL7R	T_cell
TRBC1	T_cell
TRBC2	T_cell
LCK	T_cell
CCL5	T_cell
CD3G	T_cell
CD3E	T_cell
CD2	T_cell
TRAC	T_cell
CD27	T_cell
LTB	T_cell
FTL	Macrophage_Microglia
C1QC	Macrophage_Microglia
APOE	Macrophage_Microglia
C1QB	Macrophage_Microglia
C1QA	Macrophage_Microglia
APOC1	Macrophage_Microglia
TREM2	Macrophage_Microglia
VSIG4	Macrophage_Microglia
FCGBP	Macrophage_Microglia
PLTP	Macrophage_Microglia
A2M	Macrophage_Microglia
AIF1	Macrophage_Microglia
GPNMB	Macrophage_Microglia
NPC2	Macrophage_Microglia
MT2A	Macrophage_Microglia
MT1E	Macrophage_Microglia
CD9	Macrophage_Microglia
SAT1	Macrophage_Microglia
RP11-552D4.1	Macrophage_Microglia
SPP1	Macrophage_Microglia
ITGA4	Macrophage_Microglia
TGFBI	Macrophage_Microglia
LGALS3BP	Macrophage_Microglia
IFITM2	Macrophage_Microglia
IFITM3	Macrophage_Microglia
TAGLN2	Macrophage_Microglia
FPR3	Macrophage_Microglia
KYNU	Macrophage_Microglia
S100A11	Macrophage_Microglia
S100A6	Macrophage_Microglia
TGM2	Macrophage_Microglia
EMILIN2	Macrophage_Microglia
GDA	Macrophage_Microglia
HP	Macrophage_Microglia
SELL	Macrophage_Microglia
CD163	Macrophage_Microglia
MRC1	Macrophage_Microglia
LYVE1	Macrophage_Microglia
SIGLEC1	Macrophage_Microglia
TMEM119	Macrophage_Microglia
CX3CR1	Macrophage_Microglia
P2RY12	Macrophage_Microglia
ALOX5AP	Macrophage_Microglia
ADORA3	Macrophage_Microglia
IGSF6	Macrophage_Microglia
ACY3	Macrophage_Microglia
RASAL3	Macrophage_Microglia
TBXAS1	Macrophage_Microglia
SASH3	Macrophage_Microglia
SUSD3	Macrophage_Microglia
P2RY13	Macrophage_Microglia
TMIGD3	Macrophage_Microglia
GPR34	Macrophage_Microglia
OLFML3	Macrophage_Microglia
SELPLG	Macrophage_Microglia
SPARC	Macrophage_Microglia
FOS	Macrophage_Microglia
SIGLEC10	Macrophage_Microglia
C3	Macrophage_Microglia
SLC2A5	Macrophage_Microglia
SLC1A3	Macrophage_Microglia
PF4	Macrophage_Microglia
BIN1	Macrophage_Microglia
RNASET2	Macrophage_Microglia
RGS10	Macrophage_Microglia
SGK1	Macrophage_Microglia
F13A1	Macrophage_Microglia
IFIT3	Macrophage_Microglia
MCM5	Macrophage_Microglia
DAB2	Macrophage_Microglia
IFNGR1	Macrophage_Microglia
APBB1IP	Macrophage_Microglia
LILRB4	Macrophage_Microglia
CYFIP1	Macrophage_Microglia
CXCR2	Macrophage_Microglia
SCD2	Macrophage_Microglia
PSAT1	Macrophage_Microglia
CSF2RA	Macrophage_Microglia
CSF1	Macrophage_Microglia
CSF1R	Macrophage_Microglia
CRYBB1	Macrophage_Microglia
FCRLS	Macrophage_Microglia
MAFB	Macrophage_Microglia
PMEPA1	Macrophage_Microglia
CD14	Macrophage_Microglia
LPL	Macrophage_Microglia
CST7	Macrophage_Microglia
CST3	Tumor
S100B	Tumor
SLC1A3	Tumor
HEPN1	Tumor
HOPX	Tumor
MT3	Tumor
SPARCL1	Tumor
MLC1	Tumor
GFAP	Tumor
FABP7	Tumor
BCAN	Tumor
PON2	Tumor
METTL7B	Tumor
SPARC	Tumor
GATM	Tumor
RAMP1	Tumor
PMP2	Tumor
AQP4	Tumor
DBI	Tumor
EDNRB	Tumor
PTPRZ1	Tumor
CLU	Tumor
PMP22	Tumor
ATP1A2	Tumor
S100A16	Tumor
HEY1	Tumor
PCDHGC3	Tumor
TTYH1	Tumor
NDRG2	Tumor
PRCP	Tumor
ATP1B2	Tumor
AGT	Tumor
PLTP	Tumor
GPM6B	Tumor
F3	Tumor
RAB31	Tumor
PPAP2B	Tumor
ANXA5	Tumor
TSPAN7	Tumor
CHI3L1	Tumor
ANXA2	Tumor
ANXA1	Tumor
CD44	Tumor
VIM	Tumor
MT2A	Tumor
C1S	Tumor
NAMPT	Tumor
EFEMP1	Tumor
C1R	Tumor
SOD2	Tumor
IFITM3	Tumor
TIMP1	Tumor
SPP1	Tumor
A2M	Tumor
S100A11	Tumor
MT1X	Tumor
S100A10	Tumor
FN1	Tumor
LGALS1	Tumor
CLIC1	Tumor
MGST1	Tumor
RCAN1	Tumor
TAGLN2	Tumor
NPC2	Tumor
SERPING1	Tumor
C8orf4	Tumor
EMP1	Tumor
APOE	Tumor
CTSB	Tumor
C3	Tumor
LGALS3	Tumor
MT1E	Tumor
EMP3	Tumor
SERPINA3	Tumor
ACTN1	Tumor
PRDX6	Tumor
IGFBP7	Tumor
SERPINE1	Tumor
PLP2	Tumor
MGP	Tumor
CLIC4	Tumor
GFPT2	Tumor
GSN	Tumor
NNMT	Tumor
TUBA1C	Tumor
GJA1	Tumor
TNFRSF1A	Tumor
WWTR1	Tumor
HILPDA	Tumor
ADM	Tumor
DDIT3	Tumor
NDRG1	Tumor
HERPUD1	Tumor
DNAJB9	Tumor
TRIB3	Tumor
ENO2	Tumor
AKAP12	Tumor
SQSTM1	Tumor
ATF3	Tumor
NRN1	Tumor
SLC2A1	Tumor
BNIP3	Tumor
INSIG2	Tumor
IGFBP3	Tumor
PPP1R15A	Tumor
PLOD2	Tumor
GBE1	Tumor
SLC2A3	Tumor
FTL	Tumor
WARS	Tumor
ERO1L	Tumor
XPOT	Tumor
HSPA5	Tumor
GDF15	Tumor
EPAS1	Tumor
LDHA	Tumor
P4HA1	Tumor
SERTAD1	Tumor
PFKP	Tumor
PGK1	Tumor
EGLN3	Tumor
SLC6A6	Tumor
CA9	Tumor
BNIP3L	Tumor
RPL21	Tumor
TRAM1	Tumor
UFM1	Tumor
ASNS	Tumor
GOLT1B	Tumor
ANGPTL4	Tumor
SLC39A14	Tumor
CDKN1A	Tumor
HSPA9	Tumor
DLL3	Tumor
DLL1	Tumor
SOX4	Tumor
TUBB3	Tumor
HES6	Tumor
TAGLN3	Tumor
NEU4	Tumor
MARCKSL1	Tumor
CD24	Tumor
STMN1	Tumor
TCF12	Tumor
BEX1	Tumor
OLIG1	Tumor
MAP2	Tumor
FXYD6	Tumor
PTPRS	Tumor
MLLT11	Tumor
NPPA	Tumor
MEST	Tumor
ASCL1	Tumor
BTG2	Tumor
DCX	Tumor
NXPH1	Tumor
HN1	Tumor
PFN2	Tumor
SCG3	Tumor
MYT1	Tumor
CHD7	Tumor
GPR56	Tumor
TUBA1A	Tumor
PCBP4	Tumor
ETV1	Tumor
SHD	Tumor
TNR	Tumor
AMOTL2	Tumor
DBN1	Tumor
HIP1	Tumor
ABAT	Tumor
ELAVL4	Tumor
LMF1	Tumor
GRIK2	Tumor
SERINC5	Tumor
TSPAN13	Tumor
ELMO1	Tumor
GLCCI1	Tumor
SEZ6L	Tumor
LRRN1	Tumor
SEZ6	Tumor
SOX11	Tumor
STMN2	Tumor
RND3	Tumor
HMP19	Tumor
MIAT	Tumor
NSG1	Tumor
DLX6-AS1	Tumor
NREP	Tumor
FNBP1L	Tumor
STMN4	Tumor
DLX5	Tumor
MAP1B	Tumor
RBFOX2	Tumor
IGFBPL1	Tumor
TMEM161B-AS1	Tumor
DPYSL3	Tumor
SEPT3	Tumor
PKIA	Tumor
ATP1B1	Tumor
DYNC1I1	Tumor
CD200	Tumor
SNAP25	Tumor
PAK3	Tumor
NDRG4	Tumor
KIF5A	Tumor
UCHL1	Tumor
KIF5C	Tumor
DDAH2	Tumor
TUBB2A	Tumor
LBH	Tumor
LOC150568	Tumor
TCF4	Tumor
GNG3	Tumor
NFIB	Tumor
DPYSL5	Tumor
CRABP1	Tumor
NFIX	Tumor
CEP170	Tumor
BLCAP	Tumor
PLP1	Tumor
GPR17	Tumor
FIBIN	Tumor
LHFPL3	Tumor
PSAT1	Tumor
SCRG1	Tumor
OMG	Tumor
APOD	Tumor
SIRT2	Tumor
THY1	Tumor
PHYHIPL	Tumor
SOX2-OT	Tumor
NKAIN4	Tumor
LPPR1	Tumor
VCAN	Tumor
CNP	Tumor
TNS3	Tumor
LIMA1	Tumor
CA10	Tumor
CNTN1	Tumor
SCD5	Tumor
P2RX7	Tumor
CADM2	Tumor
FGF12	Tumor
TMEM206	Tumor
RNF13	Tumor
RTKN	Tumor
ALCAM	Tumor
PGRMC1	Tumor
HRASLS	Tumor
BCAS1	Tumor
PLLP	Tumor
FABP5	Tumor
NLGN3	Tumor
EPB41L2	Tumor
GPR37L1	Tumor
