HUGO symbols	Cell population
SLC1A2	Astrocyte
SPARCL1	Astrocyte
CPE	Astrocyte
ALDOC	Astrocyte
CLU	Astrocyte
SLC1A3	Astrocyte
AQP4	Astrocyte
ATP1A2	Astrocyte
GLUL	Astrocyte
ETNPPL	Astrocyte
NTRK2	Astrocyte
SERPINA3	Astrocyte
AGT	Astrocyte
SERPINE2	Astrocyte
ADGRV1	Astrocyte
PLPP3	Astrocyte
MGST1	Astrocyte
GPM6A	Astrocyte
DKK3	Astrocyte
FAM107A	Astrocyte
TSPAN7	Astrocyte
GPRC5B	Astrocyte
ITM2C	Astrocyte
WIF1	Astrocyte
GJA1	Astrocyte
NDRG2	Astrocyte
CXCL8	Astrocyte
IGFBP7	Astrocyte
F3	Astrocyte
CLDN10	Astrocyte
ATP1B2	Astrocyte
CST3	Astrocyte
AHCYL1	Astrocyte
CSRP1	Astrocyte
TTYH1	Astrocyte
TPD52L1	Astrocyte
DTNA	Astrocyte
GJB6	Astrocyte
PTGDS	Astrocyte
GRAMD2B	Astrocyte
GPR37L1	Astrocyte
HTRA1	Astrocyte
SCG3	Astrocyte
CNN3	Astrocyte
S100B	Astrocyte
SLC25A18	Astrocyte
MGLL	Astrocyte
TSC22D1	Astrocyte
TUBB2B	Astrocyte
GPM6B	Astrocyte
PLP1	Oligodendrocyte
PTGDS	Oligodendrocyte
PPP1R14A	Oligodendrocyte
MBP	Oligodendrocyte
TF	Oligodendrocyte
CNP	Oligodendrocyte
QDPR	Oligodendrocyte
CLDND1	Oligodendrocyte
MAG	Oligodendrocyte
APLP1	Oligodendrocyte
SELENOP	Oligodendrocyte
CLDN11	Oligodendrocyte
CRYAB	Oligodendrocyte
APOD	Oligodendrocyte
ERMN	Oligodendrocyte
CNDP1	Oligodendrocyte
TMEM144	Oligodendrocyte
S100B	Oligodendrocyte
S100A1	Oligodendrocyte
GSN	Oligodendrocyte
SCD	Oligodendrocyte
TUBB4A	Oligodendrocyte
GPM6B	Oligodendrocyte
KLK6	Oligodendrocyte
SLC44A1	Oligodendrocyte
RNASE1	Oligodendrocyte
FEZ1	Oligodendrocyte
SEPTIN4	Oligodendrocyte
MOG	Oligodendrocyte
ENPP2	Oligodendrocyte
MOBP	Oligodendrocyte
EDIL3	Oligodendrocyte
CAMK2N1	Oligodendrocyte
ATP1B1	Oligodendrocyte
SLAIN1	Oligodendrocyte
PLAAT3	Oligodendrocyte
LARP6	Oligodendrocyte
CA2	Oligodendrocyte
ABCA2	Oligodendrocyte
LHPP	Oligodendrocyte
NKX6-2	Oligodendrocyte
ANLN	Oligodendrocyte
PIP4K2A	Oligodendrocyte
PLEKHB1	Oligodendrocyte
PLLP	Oligodendrocyte
AMER2	Oligodendrocyte
EFHD1	Oligodendrocyte
MAL	Oligodendrocyte
TTLL7	Oligodendrocyte
CNTN2	Oligodendrocyte
CD74	Macrophage_Microglia
C1QA	Macrophage_Microglia
HLA-DRA	Macrophage_Microglia
C1QC	Macrophage_Microglia
C1QB	Macrophage_Microglia
FTL	Macrophage_Microglia
APOC1	Macrophage_Microglia
HLA-DPA1	Macrophage_Microglia
TYROBP	Macrophage_Microglia
HLA-DPB1	Macrophage_Microglia
HLA-DRB1	Macrophage_Microglia
HLA-DRB5	Macrophage_Microglia
FCGBP	Macrophage_Microglia
SAT1	Macrophage_Microglia
APOE	Macrophage_Microglia
NPC2	Macrophage_Microglia
CD14	Macrophage_Microglia
FCER1G	Macrophage_Microglia
SPP1	Macrophage_Microglia
CTSB	Macrophage_Microglia
HMOX1	Macrophage_Microglia
HLA-DQB1	Macrophage_Microglia
GPX1	Macrophage_Microglia
CXCL8	Macrophage_Microglia
RGS1	Macrophage_Microglia
HLA-DQA1	Macrophage_Microglia
PLIN2	Macrophage_Microglia
AIF1	Macrophage_Microglia
FCGR3A	Macrophage_Microglia
MS4A6A	Macrophage_Microglia
IER3	Macrophage_Microglia
SRGN	Macrophage_Microglia
CTSD	Macrophage_Microglia
CD163	Macrophage_Microglia
PSAP	Macrophage_Microglia
ALOX5AP	Macrophage_Microglia
CD68	Macrophage_Microglia
MS4A7	Macrophage_Microglia
S100A11	Macrophage_Microglia
RNASET2	Macrophage_Microglia
LAPTM5	Macrophage_Microglia
C3	Macrophage_Microglia
HLA-DMA	Macrophage_Microglia
PLAUR	Macrophage_Microglia
GPNMB	Macrophage_Microglia
CCL3	Macrophage_Microglia
VSIG4	Macrophage_Microglia
SGK1	Macrophage_Microglia
FTH1	Macrophage_Microglia
RNASE1	Macrophage_Microglia
CCL3L3	Macrophage_Microglia
CCL4L2	Macrophage_Microglia
CCL4	Macrophage_Microglia
TREM2	Macrophage_Microglia
CH25H	Macrophage_Microglia
IL1B	Macrophage_Microglia
HAMP	Macrophage_Microglia
CD83	Macrophage_Microglia
GPR34	Macrophage_Microglia
DUSP1	Macrophage_Microglia
FCGR1A	Macrophage_Microglia
TMIGD3	Macrophage_Microglia
CX3CR1	Macrophage_Microglia
OLR1	Macrophage_Microglia
CSF1R	Macrophage_Microglia
MEF2C	Macrophage_Microglia
KLF6	Macrophage_Microglia
LILRB4	Macrophage_Microglia
IFI27	Macrophage_Microglia
A2M	Macrophage_Microglia
CCL2	Macrophage_Microglia
RGS10	Macrophage_Microglia
KLF2	Macrophage_Microglia
CCL5	T_cell
IL32	T_cell
CD52	T_cell
GZMA	T_cell
NKG7	T_cell
GZMK	T_cell
CD3D	T_cell
CD3E	T_cell
CD2	T_cell
IFITM1	T_cell
TRAC	T_cell
LTB	T_cell
CST7	T_cell
PTPRCAP	T_cell
TRBC2	T_cell
S100A4	T_cell
CD8A	T_cell
IL7R	T_cell
CXCR4	T_cell
RAC2	T_cell
TRBC1	T_cell
CRIP1	T_cell
GZMH	T_cell
MT-ATP8	T_cell
BTG1	T_cell
