"","CDSeq_estimated_cell_type_1","CDSeq_estimated_cell_type_2","CDSeq_estimated_cell_type_3","CDSeq_estimated_cell_type_4","CDSeq_estimated_cell_type_5","CDSeq_estimated_cell_type_6","CDSeq_estimated_cell_type_7","CDSeq_estimated_cell_type_8"
"XIST",0.00423932848728587,0.000426035374504089,0.00141723558637452,2.44722558035955e-06,0.00111768039132355,7.17627809512874e-06,0.00105510562744252,0.00543615676359039
"SNAP25",5.77827599357456e-06,2.71360111149102e-06,1.78718232834114e-06,0.0194236294313137,0.0222275693107672,3.10972050788912e-05,1.06254343146276e-06,2.34115278363066e-05
"VSNL1",1.92609199785819e-06,2.71360111149102e-06,1.78718232834114e-06,0.00710429585978376,0.00875082289609426,2.39209269837625e-06,1.06254343146276e-06,1.4046916701784e-05
"GABRA1",5.77827599357456e-06,2.44224100034191e-05,2.68077349251171e-05,0.000208014174330561,0.00718002883261252,7.17627809512874e-06,1.06254343146276e-06,7.95991946434424e-05
"POSTN",1.92609199785819e-06,1.89952077804371e-05,5.36154698502341e-06,2.44722558035955e-06,1.04164062565103e-06,2.39209269837625e-06,4.14391938270477e-05,0.0577749683944374
"RPS4Y1",0.000968824274922667,0.0010881540457079,0.000923973263752368,0.00189659982477865,3.12492187695308e-06,0.00214570715044349,0.000670464905253002,1.4046916701784e-05
"STMN2",5.77827599357456e-06,8.14080333447305e-06,1.78718232834114e-06,0.00383969693558413,0.00973413164670883,0.00628881170403115,1.16879777460904e-05,2.34115278363066e-05
"COL3A1",2.88913799678728e-05,2.71360111149102e-06,5.36154698502341e-06,7.34167674107864e-06,1.04164062565103e-06,2.39209269837625e-06,0.0221359673076637,0.000847497307674299
"GABRG2",1.92609199785819e-06,2.71360111149102e-06,5.36154698502341e-06,0.000697459290402471,0.00362595101789122,2.39209269837625e-06,1.06254343146276e-06,8.89638057779651e-05
"NEFL",9.82306918907675e-05,2.71360111149102e-06,1.78718232834114e-06,0.00238115048968984,0.00662170945726357,2.63130196821387e-05,1.06254343146276e-06,1.4046916701784e-05
"GABRB2",2.118701197644e-05,2.98496122264012e-05,8.93591164170569e-06,2.44722558035955e-06,0.00786751164554219,3.58813904756437e-05,3.29388463753456e-05,4.21407501053519e-05
"SYT1",1.92609199785819e-06,2.44224100034191e-05,1.78718232834114e-06,0.00823980852907059,0.0121174053981984,2.39209269837625e-06,9.03161916743347e-05,2.34115278363066e-05
"CCK",1.92609199785819e-06,7.86944322332394e-05,1.78718232834114e-06,0.000340164355669977,0.00359470179912169,2.15288342853862e-05,1.16879777460904e-05,6.08699723743971e-05
"IBSP",0.000294692075672302,0.000550861025632676,1.78718232834114e-06,7.34167674107864e-06,1.04164062565103e-06,2.39209269837625e-06,0.0043171139620332,1.4046916701784e-05
"ESM1",4.04479319550219e-05,0.000127539252240078,1.78718232834114e-06,2.44722558035955e-06,9.37476563085923e-06,2.39209269837625e-06,0.00377309172512426,4.68230556726132e-06
"SYN2",9.63045998929093e-06,8.14080333447305e-06,1.2510276298388e-05,0.00203364445727878,0.00276763914235477,2.39209269837625e-06,2.86886726494945e-05,4.68230556726132e-06
"SYNPR",9.63045998929093e-06,2.71360111149102e-06,1.2510276298388e-05,0.000643620327634561,0.00290930226744331,3.10972050788912e-05,3.18763029438828e-06,1.4046916701784e-05
"SLC17A7",1.73348279807237e-05,2.71360111149102e-06,5.36154698502341e-06,0.00291954011736894,0.00131975867269985,2.63130196821387e-05,1.06254343146276e-06,2.34115278363066e-05
"NEFM",5.77827599357456e-06,8.14080333447305e-06,1.78718232834114e-06,0.00450044784228121,0.00118851195386782,2.39209269837625e-06,1.59381514719414e-05,1.4046916701784e-05
"SNAP91",1.73348279807237e-05,1.35680055574551e-05,1.78718232834114e-06,0.000286325392902067,0.00345303867403315,0.000452105519993111,1.16879777460904e-05,7.02345835089198e-05
"GABRA4",9.63045998929093e-06,8.95488366792035e-05,2.32333702684348e-05,6.11806395089887e-05,0.00237598226710999,2.39209269837625e-06,2.01883251977925e-05,4.68230556726132e-06
"CREG2",6.74132199250365e-05,3.52768144493832e-05,6.61257461486221e-05,0.000291219844062786,0.00384052898677533,7.41548736496637e-05,1.06254343146276e-06,5.15053612398745e-05
"SYT4",1.34826439850073e-05,1.35680055574551e-05,5.36154698502341e-06,1.71305790625168e-05,0.00277180570485738,0.000222464620948991,3.18763029438828e-06,3.27761389708292e-05
"IL8",0.0140315802043969,0.000350054543382341,1.78718232834114e-06,2.44722558035955e-06,5.20820312825513e-06,2.39209269837625e-06,1.06254343146276e-06,4.68230556726132e-06
"COL4A1",0.00153509532229297,0.000279500914483575,0.000126889945312221,2.44722558035955e-06,3.12492187695308e-06,2.39209269837625e-06,0.0280862105238552,0.00128763403099686
"GNG3",9.63045998929093e-06,2.71360111149102e-06,2.68077349251171e-05,0.00432424760049532,0.00100726648500454,2.39209269837625e-06,1.16879777460904e-05,6.08699723743971e-05
"ITM2A",1.92609199785819e-06,0.00126182451684332,0.000602280444650963,0.00380543577745909,0.00459259351849537,0.00415506501707954,0.0234067692516932,0.000838132696539776
"ELAVL2",1.92609199785819e-06,3.52768144493832e-05,5.36154698502341e-06,2.44722558035955e-06,0.00220723648575452,0.000772645941575528,1.16879777460904e-05,6.08699723743971e-05
"CRYM",1.92609199785819e-06,2.98496122264012e-05,1.2510276298388e-05,0.00114774879718863,0.00164058398540036,1.19604634918812e-05,5.3127171573138e-06,5.15053612398745e-05
"CAMK2A",4.81522999464546e-05,2.44224100034191e-05,5.36154698502341e-06,0.00359007992638745,0.00191974367307484,7.17627809512874e-06,7.43780402023933e-06,1.4046916701784e-05
