HUGO symbols	Cell population
CD79A	B cells
CD79B	B cells
CD37	B cells
MS4A1	B cells
BANK1	B cells
BLK	B cells
VPREB3	B cells
RP5-887A10.1	B cells
FCER1A	DC
PLD4	DC
JAML	DC
PKIB	DC
CTSH	DC
TPSAB1	Mast cells
TPSB2	Mast cells
CPA3	Mast cells
HPGD	Mast cells
HPGDS	Mast cells
HDC	Mast cells
RGS13	Mast cells
MAOB	Mast cells
KRT1	Mast cells
AC004791.2	Mast cells
SLC45A3	Mast cells
SVOPL	Mast cells
CTSG	Mast cells
KIT	Mast cells
VWA5A	Mast cells
ALDH1A1	Mast cells
SDPR	Mast cells
MS4A2	Mast cells
C1orf186	Mast cells
GATA2	Mast cells
LTC4S	Mast cells
RP11-354E11.2	Mast cells
SLC18A2	Mast cells
LAPTM4A	Mast cells
ANXA1	Mast cells
SAMSN1	Mast cells
LYZ	Monocytes
VCAN	Monocytes
FCN1	Monocytes
TIMP1	Monocytes
S100A9	Monocytes
S100A12	Monocytes
S100A6	Monocytes
EREG	Monocytes
S100A8	Monocytes
LINC01272	Monocytes
TYROBP	Monocytes
CFD	Monocytes
SERPINA1	Monocytes
NEAT1	Monocytes
CD7	NK cells
CCL5	NK cells
KLRB1	NK cells
KLRC1	NK cells
HOPX	NK cells
GZMB	NK cells
APOBEC3G	NK cells
KRT86	NK cells
KLRD1	NK cells
MATK	NK cells
IL2RB	NK cells
HCST	NK cells
XCL2	NK cells
XCL1	NK cells
EVL	NK cells
GNLY	NK cells
TRDC	NK cells
CD247	NK cells
CD2	NK cells
LCK	NK cells
PRF1	NK cells
CST7	NK cells
CTSW	NK cells
STMN1	NK cells
GZMA	NK cells
NKG7	NK cells
IL32	T cells
SIT1	T cells
CD3D	T cells
GIMAP7	T cells
SPOCK2	T cells
IL7R	T cells
TRBC1	T cells
TRBC2	T cells
LCK	T cells
CCL5	T cells
CD3G	T cells
CD3E	T cells
CD2	T cells
TRAC	T cells
CD27	T cells
LTB	T cells
FTL	TAM
C1QC	TAM
APOE	TAM
C1QB	TAM
C1QA	TAM
APOC1	TAM
TREM2	TAM
VSIG4	TAM
FCGBP	TAM
PLTP	TAM
A2M	TAM
AIF1	TAM
GPNMB	TAM
NPC2	TAM
MT2A	TAM
MT1E	TAM
CD9	TAM
SAT1	TAM
RP11-552D4.1	TAM
SPP1	TAM
ITGA4	TAM
TGFBI	TAM
LGALS3BP	TAM
IFITM2	TAM
IFITM3	TAM
TAGLN2	TAM
FPR3	TAM
KYNU	TAM
S100A11	TAM
S100A6	TAM
TGM2	TAM
EMILIN2	TAM
GDA	TAM
HP	TAM
SELL	TAM
CD163	TAM
MRC1	TAM
LYVE1	TAM
SIGLEC1	TAM
TMEM119	Microglia
TREM2	Microglia
CX3CR1	Microglia
P2RY12	Microglia
ALOX5AP	Microglia
ADORA3	Microglia
IGSF6	Microglia
ACY3	Microglia
RASAL3	Microglia
TBXAS1	Microglia
SASH3	Microglia
SUSD3	Microglia
P2RY13	Microglia
TMIGD3	Microglia
GPR34	Microglia
OLFML3	Microglia
SELPLG	Microglia
SPARC	Microglia
FOS	Microglia
SIGLEC10	Microglia
C3	Microglia
SLC2A5	Microglia
SLC1A3	Microglia
PF4	Microglia
BIN1	Microglia
RNASET2	Microglia
RGS10	Microglia
SGK1	Microglia
F13A1	Microglia
IFIT3	Microglia
MCM5	Microglia
DAB2	Microglia
IFNGR1	Microglia
APBB1IP	Microglia
LILRB4	Microglia
CYFIP1	Microglia
CXCR2	Microglia
SCD2	Microglia
PSAT1	Microglia
CSF2RA	Microglia
CSF1	Microglia
CSF1R	Microglia
CRYBB1	Microglia
FCRLS	Microglia
MAFB	Microglia
PMEPA1	Microglia
CD14	Microglia
LPL	Microglia
CST7	Microglia
