HUGO symbols	Cell population
GPR17	Tumor
SUSD2	Tumor
DLL3	Tumor
SAA3P	Tumor
DLX5	Tumor
STMN2	Tumor
SLN	Tumor
SOX11	Tumor
POSTN	Tumor
NXPH1	Tumor
DLX6-AS1	Tumor
SLPI	Tumor
SHD	Tumor
CHST9	Tumor
RPH3A	Tumor
FXYD6	Tumor
H19	Tumor
ASIC4	Tumor
SCN3A	Tumor
NNAT	Tumor
TMSB15A	Tumor
CHST8	Tumor
IGFBP5	Tumor
TAGLN3	Tumor
CTSK	Tumor
PTX3	Tumor
MEG3	Tumor
MLLT11	Tumor
DCX	Tumor
SNTG1	Tumor
PDGFRA	Tumor
LY6H	Tumor
TAC3	Tumor
NEFL	Tumor
IL13RA2	Tumor
NUDT11	Tumor
IGFBPL1	Tumor
ROBO2	Tumor
CA9	Tumor
ALDH1A3	Tumor
MEST	Tumor
KCNQ2	Tumor
CDK4	Tumor
NEU4	Tumor
BCHE	Tumor
GAP43	Tumor
VIPR2	Tumor
CA3	Tumor
NUDT10	Tumor
CTXN1	Tumor
LUZP2	Tumor
SEZ6L	Tumor
MMP9	Tumor
MAP2	Tumor
ATP1A3	Tumor
NEUROD6	Tumor
IGFBP2	Tumor
BEST3	Tumor
ELAVL4	Tumor
C2orf80	Tumor
RASL11B	Tumor
KLHL13	Tumor
LHFPL3	Tumor
CA10	Tumor
LTF	Tumor
TIMP4	Tumor
C1QL1	Tumor
SFRP4	Tumor
NRSN1	Tumor
SAA1	Tumor
CYP27B1	Tumor
BTBD17	Tumor
PCP4	Tumor
NOVA1	Tumor
UHRF1	Tumor
PAK3	Tumor
RNF180	Tumor
MEIS3	Tumor
NME1-NME2	Tumor
TNR	Tumor
HOXC9	Tumor
CAP2	Tumor
EN1	Tumor
NOL4	Tumor
PCSK2	Tumor
SEC61G	Tumor
FGF14	Tumor
PBK	Tumor
SIX1	Tumor
CRABP1	Tumor
DIRAS3	Tumor
GAL	Tumor
ZNF385D	Tumor
TCF23	Tumor
HAS2	Tumor
MDK	Tumor
C6orf15	Tumor
EGFR	Tumor
ETV1	Tumor
CCNB2	Tumor
ACHE	Tumor
TSPAN11	Tumor
CELF4	Tumor
HOXA2	Tumor
HOXD11	Tumor
DLX1	Tumor
TUBB3	Tumor
MELK	Tumor
FERMT1	Tumor
MFAP4	Tumor
METTL1	Tumor
ATCAY	Tumor
HOXA7	Tumor
MMP16	Tumor
GPC6	Tumor
TMEM108	Tumor
PLEKHA4	Tumor
RCOR2	Tumor
KLHDC8A	Tumor
CHGB	Tumor
SOX4	Tumor
HES6	Tumor
RGS6	Tumor
EMILIN3	Tumor
NMB	Tumor
KCNIP1	Tumor
SEMA5A	Tumor
AVIL	Tumor
SCG2	Tumor
CRNDE	Tumor
SYT4	Tumor
ACTL6B	Tumor
LRRC17	Tumor
CACNG8	Tumor
PPP1R1C	Tumor
COL20A1	Tumor
SLC4A3	Tumor
PPP1R14C	Tumor
TTC9B	Tumor
GSX1	Tumor
TNC	Tumor
GRIK3	Tumor
ADD2	Tumor
DMRTA2	Tumor
GNG4	Tumor
LOX	Tumor
DSCAM	Tumor
PLA2G2A	Tumor
HPCA	Tumor
GRIA3	Tumor
DCC	Tumor
SEZ6	Tumor
CPXM1	Tumor
PCDHB2	Tumor
PCDHGA8	Tumor
DPYSL3	Tumor
FMOD	Tumor
RPRM	Tumor
NTN1	Tumor
CACNG4	Tumor
PDZD4	Tumor
PCOLCE2	Tumor
DPF1	Tumor
LNX1	Tumor
NKX2-5	Tumor
NNMT	Tumor
FAM83D	Tumor
FZD7	Tumor
TMEM54	Tumor
F12	Tumor
CELF5	Tumor
RNF175	Tumor
PLXNA4	Tumor
VSTM2A	Tumor
TMEM100	Tumor
CA12	Tumor
CLVS1	Tumor
INSM1	Tumor
ARC	Tumor
PLK1	Tumor
MAS1	Tumor
SEMA5B	Tumor
DLX2	Tumor
KCNH2	Tumor
CCNB1	Tumor
RAB3C	Tumor
BCAN	Tumor
HMGA2	Tumor
C1R	Tumor
HSPB6	Tumor
GAS1	Tumor
NEK2	Tumor
FABP7	Tumor
MXRA8	Tumor
FLRT3	Tumor
GABRB3	Tumor
HOXA5	Tumor
TMEM178B	Tumor
SLITRK3	Tumor
UBE2C	Tumor
CCL4L2	Macrophage_Microglia
TREM2	Macrophage_Microglia
FCGBP	Macrophage_Microglia
FCGR1A	Macrophage_Microglia
IBSP	Macrophage_Microglia
P2RY12	Macrophage_Microglia
C1QB	Macrophage_Microglia
