method,constraint,description,cell_type,weight,n_tumors_evaluable,n_satisfied,fraction_satisfied
nnls,C1,Tumor: CT > LE,Tumor,1.0,8,8,1.0
nnls,C2,Oligodendrocyte: LE > CT,Oligodendrocyte,1.0,8,8,1.0
nnls,C3,Endothelial: MVP > CT,Endothelial,1.0,9,9,1.0
nnls,C4,Endothelial: MVP is the maximum,Endothelial,1.0,9,9,1.0
nnls,C5,Macrophage_Microglia: PAN > LE,Macrophage_Microglia,1.0,6,6,1.0
nnls,C6,Macrophage_Microglia: MVP > CT,Macrophage_Microglia,1.0,9,3,0.3333333333333333
nnls,C7,Tumor: LE < IT < CT,Tumor,2.0,8,6,0.75
svr,C1,Tumor: CT > LE,Tumor,1.0,8,8,1.0
svr,C2,Oligodendrocyte: LE > CT,Oligodendrocyte,1.0,8,8,1.0
svr,C3,Endothelial: MVP > CT,Endothelial,1.0,9,9,1.0
svr,C4,Endothelial: MVP is the maximum,Endothelial,1.0,9,9,1.0
svr,C5,Macrophage_Microglia: PAN > LE,Macrophage_Microglia,1.0,6,5,0.8333333333333334
svr,C6,Macrophage_Microglia: MVP > CT,Macrophage_Microglia,1.0,9,7,0.7777777777777778
svr,C7,Tumor: LE < IT < CT,Tumor,2.0,8,8,1.0
cibersortx,C1,Tumor: CT > LE,Tumor,1.0,8,8,1.0
cibersortx,C2,Oligodendrocyte: LE > CT,Oligodendrocyte,1.0,8,8,1.0
cibersortx,C3,Endothelial: MVP > CT,Endothelial,1.0,9,9,1.0
cibersortx,C4,Endothelial: MVP is the maximum,Endothelial,1.0,9,9,1.0
cibersortx,C5,Macrophage_Microglia: PAN > LE,Macrophage_Microglia,1.0,6,5,0.8333333333333334
cibersortx,C6,Macrophage_Microglia: MVP > CT,Macrophage_Microglia,1.0,9,5,0.5555555555555556
cibersortx,C7,Tumor: LE < IT < CT,Tumor,2.0,8,6,0.75
cibersortx_smode,C1,Tumor: CT > LE,Tumor,1.0,8,8,1.0
cibersortx_smode,C2,Oligodendrocyte: LE > CT,Oligodendrocyte,1.0,8,8,1.0
cibersortx_smode,C3,Endothelial: MVP > CT,Endothelial,1.0,9,9,1.0
cibersortx_smode,C4,Endothelial: MVP is the maximum,Endothelial,1.0,9,9,1.0
cibersortx_smode,C5,Macrophage_Microglia: PAN > LE,Macrophage_Microglia,1.0,6,6,1.0
cibersortx_smode,C6,Macrophage_Microglia: MVP > CT,Macrophage_Microglia,1.0,9,4,0.4444444444444444
cibersortx_smode,C7,Tumor: LE < IT < CT,Tumor,2.0,8,6,0.75
elastic_net,C1,Tumor: CT > LE,Tumor,1.0,8,8,1.0
elastic_net,C2,Oligodendrocyte: LE > CT,Oligodendrocyte,1.0,8,8,1.0
elastic_net,C3,Endothelial: MVP > CT,Endothelial,1.0,9,9,1.0
elastic_net,C4,Endothelial: MVP is the maximum,Endothelial,1.0,9,9,1.0
elastic_net,C5,Macrophage_Microglia: PAN > LE,Macrophage_Microglia,1.0,6,5,0.8333333333333334
elastic_net,C6,Macrophage_Microglia: MVP > CT,Macrophage_Microglia,1.0,9,5,0.5555555555555556
elastic_net,C7,Tumor: LE < IT < CT,Tumor,2.0,8,6,0.75
bayesian,C1,Tumor: CT > LE,Tumor,1.0,8,6,0.75
bayesian,C2,Oligodendrocyte: LE > CT,Oligodendrocyte,1.0,8,8,1.0
bayesian,C3,Endothelial: MVP > CT,Endothelial,1.0,9,9,1.0
bayesian,C4,Endothelial: MVP is the maximum,Endothelial,1.0,9,9,1.0
bayesian,C5,Macrophage_Microglia: PAN > LE,Macrophage_Microglia,1.0,6,6,1.0
bayesian,C6,Macrophage_Microglia: MVP > CT,Macrophage_Microglia,1.0,9,5,0.5555555555555556
bayesian,C7,Tumor: LE < IT < CT,Tumor,2.0,8,3,0.375
bayesian_hierarchical,C1,Tumor: CT > LE,Tumor,1.0,8,6,0.75
bayesian_hierarchical,C2,Oligodendrocyte: LE > CT,Oligodendrocyte,1.0,8,8,1.0
bayesian_hierarchical,C3,Endothelial: MVP > CT,Endothelial,1.0,9,9,1.0
bayesian_hierarchical,C4,Endothelial: MVP is the maximum,Endothelial,1.0,9,9,1.0
bayesian_hierarchical,C5,Macrophage_Microglia: PAN > LE,Macrophage_Microglia,1.0,6,6,1.0
bayesian_hierarchical,C6,Macrophage_Microglia: MVP > CT,Macrophage_Microglia,1.0,9,4,0.4444444444444444
bayesian_hierarchical,C7,Tumor: LE < IT < CT,Tumor,2.0,8,3,0.375
music,C1,Tumor: CT > LE,Tumor,1.0,8,8,1.0
music,C2,Oligodendrocyte: LE > CT,Oligodendrocyte,1.0,8,8,1.0
music,C3,Endothelial: MVP > CT,Endothelial,1.0,9,9,1.0
music,C4,Endothelial: MVP is the maximum,Endothelial,1.0,9,9,1.0
music,C5,Macrophage_Microglia: PAN > LE,Macrophage_Microglia,1.0,6,6,1.0
music,C6,Macrophage_Microglia: MVP > CT,Macrophage_Microglia,1.0,9,7,0.7777777777777778
music,C7,Tumor: LE < IT < CT,Tumor,2.0,8,8,1.0
dwls,C1,Tumor: CT > LE,Tumor,1.0,8,6,0.75
dwls,C2,Oligodendrocyte: LE > CT,Oligodendrocyte,1.0,8,8,1.0
dwls,C3,Endothelial: MVP > CT,Endothelial,1.0,9,8,0.8888888888888888
dwls,C4,Endothelial: MVP is the maximum,Endothelial,1.0,9,8,0.8888888888888888
dwls,C5,Macrophage_Microglia: PAN > LE,Macrophage_Microglia,1.0,6,4,0.6666666666666666
dwls,C6,Macrophage_Microglia: MVP > CT,Macrophage_Microglia,1.0,9,7,0.7777777777777778
dwls,C7,Tumor: LE < IT < CT,Tumor,2.0,8,3,0.375
bisque,C1,Tumor: CT > LE,Tumor,1.0,8,7,0.875
bisque,C2,Oligodendrocyte: LE > CT,Oligodendrocyte,1.0,8,7,0.875
bisque,C3,Endothelial: MVP > CT,Endothelial,1.0,9,9,1.0
bisque,C4,Endothelial: MVP is the maximum,Endothelial,1.0,9,8,0.8888888888888888
bisque,C5,Macrophage_Microglia: PAN > LE,Macrophage_Microglia,1.0,6,6,1.0
bisque,C6,Macrophage_Microglia: MVP > CT,Macrophage_Microglia,1.0,9,1,0.1111111111111111
bisque,C7,Tumor: LE < IT < CT,Tumor,2.0,8,4,0.5
scdc,C1,Tumor: CT > LE,Tumor,1.0,8,8,1.0
scdc,C2,Oligodendrocyte: LE > CT,Oligodendrocyte,1.0,8,7,0.875
scdc,C3,Endothelial: MVP > CT,Endothelial,1.0,9,9,1.0
scdc,C4,Endothelial: MVP is the maximum,Endothelial,1.0,9,9,1.0
scdc,C5,Macrophage_Microglia: PAN > LE,Macrophage_Microglia,1.0,6,6,1.0
scdc,C6,Macrophage_Microglia: MVP > CT,Macrophage_Microglia,1.0,9,6,0.6666666666666666
scdc,C7,Tumor: LE < IT < CT,Tumor,2.0,8,8,1.0
scdc_ensemble,C1,Tumor: CT > LE,Tumor,1.0,8,8,1.0
scdc_ensemble,C2,Oligodendrocyte: LE > CT,Oligodendrocyte,1.0,8,7,0.875
scdc_ensemble,C3,Endothelial: MVP > CT,Endothelial,1.0,9,9,1.0
scdc_ensemble,C4,Endothelial: MVP is the maximum,Endothelial,1.0,9,9,1.0
scdc_ensemble,C5,Macrophage_Microglia: PAN > LE,Macrophage_Microglia,1.0,6,6,1.0
scdc_ensemble,C6,Macrophage_Microglia: MVP > CT,Macrophage_Microglia,1.0,9,6,0.6666666666666666
scdc_ensemble,C7,Tumor: LE < IT < CT,Tumor,2.0,8,8,1.0
epic,C1,Tumor: CT > LE,Tumor,1.0,8,7,0.875
epic,C2,Oligodendrocyte: LE > CT,Oligodendrocyte,1.0,8,8,1.0
epic,C3,Endothelial: MVP > CT,Endothelial,1.0,9,9,1.0
epic,C4,Endothelial: MVP is the maximum,Endothelial,1.0,9,9,1.0
epic,C5,Macrophage_Microglia: PAN > LE,Macrophage_Microglia,1.0,6,6,1.0
epic,C6,Macrophage_Microglia: MVP > CT,Macrophage_Microglia,1.0,9,1,0.1111111111111111
epic,C7,Tumor: LE < IT < CT,Tumor,2.0,8,5,0.625
quantiseq,C1,Tumor: CT > LE,Tumor,1.0,0,0,
quantiseq,C2,Oligodendrocyte: LE > CT,Oligodendrocyte,1.0,0,0,
quantiseq,C3,Endothelial: MVP > CT,Endothelial,1.0,0,0,
quantiseq,C4,Endothelial: MVP is the maximum,Endothelial,1.0,0,0,
quantiseq,C5,Macrophage_Microglia: PAN > LE,Macrophage_Microglia,1.0,6,2,0.3333333333333333
quantiseq,C6,Macrophage_Microglia: MVP > CT,Macrophage_Microglia,1.0,9,7,0.7777777777777778
quantiseq,C7,Tumor: LE < IT < CT,Tumor,2.0,0,0,
bayesprism,C1,Tumor: CT > LE,Tumor,1.0,8,6,0.75
bayesprism,C2,Oligodendrocyte: LE > CT,Oligodendrocyte,1.0,8,8,1.0
bayesprism,C3,Endothelial: MVP > CT,Endothelial,1.0,9,9,1.0
bayesprism,C4,Endothelial: MVP is the maximum,Endothelial,1.0,9,9,1.0
bayesprism,C5,Macrophage_Microglia: PAN > LE,Macrophage_Microglia,1.0,6,6,1.0
bayesprism,C6,Macrophage_Microglia: MVP > CT,Macrophage_Microglia,1.0,9,4,0.4444444444444444
bayesprism,C7,Tumor: LE < IT < CT,Tumor,2.0,8,5,0.625
control_random,C1,Tumor: CT > LE,Tumor,1.0,8,5,0.625
control_random,C2,Oligodendrocyte: LE > CT,Oligodendrocyte,1.0,8,3,0.375
control_random,C3,Endothelial: MVP > CT,Endothelial,1.0,9,7,0.7777777777777778
control_random,C4,Endothelial: MVP is the maximum,Endothelial,1.0,9,4,0.4444444444444444
control_random,C5,Macrophage_Microglia: PAN > LE,Macrophage_Microglia,1.0,6,2,0.3333333333333333
control_random,C6,Macrophage_Microglia: MVP > CT,Macrophage_Microglia,1.0,9,5,0.5555555555555556
control_random,C7,Tumor: LE < IT < CT,Tumor,2.0,8,0,0.0
control_shuffled_signature,C1,Tumor: CT > LE,Tumor,1.0,8,1,0.125
