"","convergeCode","convergeMessage","RMSE_weighted","Root_mean_squared_geneExpr_weighted","spearmanR","spearmanP","pearsonR","pearsonP","regline_a_x","regline_b","regline_a_x_through0","sum_mRNAProportions"
"A0_LE",0,"",1685.24253299322,61986.6801595895,0.997833182859921,0,0.998492192963038,1.34762305781618e-150,0.997250434320504,22.9130319317921,0.999311514839668,0.999999998152319
"A0_IT",0,"",1620.06144735653,63774.2345525501,0.997367872768942,0,0.998954404672464,5.69312218920304e-160,0.992363195300382,63.6400304612488,0.997729571183848,0.999999998955732
"A0_CT",0,"",1782.19226012246,66973.6692113609,0.996485867074102,0,0.999049309970918,2.08146659532749e-162,0.996981700104598,22.2309492856701,0.99867195568293,0.999649414018878
"A0_MVP",1,"",1767.77929179427,65870.5516743541,0.998388776998402,0,0.998918156106739,4.24774297585633e-159,0.990126373718224,82.280214693001,0.996817152330349,0.999999999481384
"A0_PAN",0,"",1356.39194598296,65520.8633632837,0.997860962566845,0,0.999347529258514,4.75191061547205e-172,0.992548823605232,62.0931361481314,0.997601240586366,0.999999999943007
"A1_LE",0,"",1818.68876455788,61940.9233902816,0.99728453364817,0,0.998262345783249,5.78305864112568e-147,0.995693010391451,35.8915781310172,0.998927519621217,0.999999999767173
"A1_IT",0,"",1616.80860617745,63774.6144089318,0.997222029307591,0,0.998966761389647,2.82413979690802e-160,0.991569819393633,70.251497675909,0.997496458260086,0.999999999114741
"A1_CT",1,"",1784.28333715742,66796.4102318969,0.997458156816445,0,0.999027054126936,8.14757600246722e-162,0.996593276286328,27.7605487695261,0.998715670493372,0.99992454213867
"A1_MVP",1,"",1629.95950390615,66064.5646343732,0.998284603097437,0,0.999041492880774,3.37365306068382e-162,0.993416641027814,54.8612969503852,0.997851112161898,0.99999999666186
"A1_PAN",0,"",1742.81062961032,65217.9589580197,0.997444266962983,0,0.998813584863594,9.79749872697807e-157,0.997887704422234,3.71822400851594,0.998192719479831,0.998333891303257
"A2_LE",0,"",1540.56645070363,61897.6294015995,0.99776373359261,0,0.998796922353323,2.22982349082892e-156,0.998666748905667,0.60672235274402,0.998721338245662,0.998739555587996
"A2_IT",0,"",1646.18534040302,63378.9128268348,0.996853948190846,0,0.998803350148327,1.6258584260571e-156,0.994067748969103,49.4354240422905,0.99829383556893,0.999999999854177
"A2_CT",0,"",2277.08898488122,66943.4952504364,0.997340093062018,0,0.998376492729821,1.05325683414639e-148,0.996375392294163,30.2050516422096,0.998678762159678,0.999999998491228
"A2_MVP",0,"",1687.54631911129,65609.4008328653,0.997756788665879,0,0.999009384481723,2.35493998918095e-161,0.996904909098336,17.3094008486794,0.998322233361518,0.998982037200178
"A2_PAN",0,"",1978.56634028631,65469.0656526128,0.997930411834155,0,0.99855995051763,8.95932947845187e-152,0.998829040136588,9.74088725417818,0.999625723403355,0.999997946607089
"A3_LE",0,"",1735.1481294097,61731.7784521979,0.997222029307591,0,0.998405980675079,3.57454764345497e-149,1.00337037007557,-48.6129617023951,0.99897001878938,0.997536814671278
"A3_IT",0,"",1993.06380998479,63915.4603660131,0.997583165497604,0,0.998363328413338,1.69551691533357e-148,0.991242546536884,72.9787785749007,0.99737154002263,0.999999999965873
"A3_CT",0,"",1627.3314004653,66857.0040876508,0.996819223557191,0,0.999195029973505,1.13993570746838e-166,0.993193482578693,56.7209776687838,0.997530574046652,0.999999999898948
"A3_MVP",0,"",1736.88340642644,65643.1642611922,0.9978956872005,0,0.998893067216364,1.64168496122872e-158,1.00100974040982,-31.66249985693,0.99841771143754,0.997210240426985
"A3_PAN",0,"",1746.04049114386,65370.0596053714,0.997770678519341,0,0.998886278321582,2.35437516259235e-158,0.996489943234305,23.2627047985846,0.998390366873242,0.999281467810136
"A4_LE",0,"",1773.29109222016,61830.520323043,0.997159524967011,0,0.998379376102643,9.48466670178301e-149,0.992610184736674,61.5817836321034,0.998162251562256,0.999999998772526
"A4_IT",1,"",1778.21723228265,63915.5501484722,0.997569275644142,0,0.998641529488013,2.87727741923441e-153,0.991632138442175,69.7321749318531,0.997490682869326,0.999999999433999
"A4_CT",0,"",1742.75765738125,66858.8163665137,0.997819293006459,0,0.999069057166209,6.03635111980106e-163,0.999301702301793,5.67023704636613,0.999735343432598,0.999982130747356
"A4_MVP",0,"",1748.67731001795,65877.2448003384,0.998131814709355,0,0.998854453772427,1.23994421255875e-157,0.998356790263451,6.93455040353992,0.99892112099035,0.999188936311876
"A4_PAN",0,"",1564.95923805579,65337.9975679396,0.998340162511285,0,0.999096017976076,1.06678926242391e-163,1.00051125556943,-23.5548401043958,0.998583619442638,0.997684674756903
