"","otherCells"
"A0_LE",1.84768111921585e-09
"A0_IT",1.04426822744585e-09
"A0_CT",0.000350585981121809
"A0_MVP",5.18615594913285e-10
"A0_PAN",5.69930769245275e-11
"A1_LE",2.32826535828679e-10
"A1_IT",8.85258866212268e-10
"A1_CT",7.54578613297863e-05
"A1_MVP",3.33813976460817e-09
"A1_PAN",0.001666108696743
"A2_LE",0.00126044441200412
"A2_IT",1.45822576236299e-10
"A2_CT",1.50877210725042e-09
"A2_MVP",0.00101796279982214
"A2_PAN",2.05339291114992e-06
"A3_LE",0.00246318532872203
"A3_IT",3.41268124870453e-11
"A3_CT",1.01052388679079e-10
"A3_MVP",0.00278975957301464
"A3_PAN",0.000718532189864063
"A4_LE",1.22747401132273e-09
"A4_IT",5.66001356894219e-10
"A4_CT",1.78692526442426e-05
"A4_MVP",0.000811063688124114
"A4_PAN",0.00231532524309708
