sample,method,Tumor,Macrophage_Microglia,T_cell,NK_cell,B_cell,Endothelial,Oligodendrocyte,Astrocyte
TCGA-CS-4938-01B,nnls,0.40120204961233324,0.0,0.0,0.0,0.0,0.517461948173407,0.013427436836647532,0.06790856537761221
TCGA-CS-4941-01A,nnls,0.583363600188776,0.0,0.0,0.0,0.0,0.22863060935439444,0.015548339479878746,0.17245745097695087
TCGA-CS-4942-01A,nnls,0.3948869932832586,0.0,0.0,0.0,0.0,0.43600152198406233,0.06272520968792578,0.1063862750447532
TCGA-CS-4943-01A,nnls,0.28541417837040495,0.0,0.0,0.0,0.0,0.5703922224004989,0.0781778238758025,0.06601577535329367
TCGA-CS-4944-01A,nnls,0.547947602513613,0.0,0.0,0.0,0.0,0.0,0.0,0.45205239748638704
TCGA-CS-5390-01A,nnls,0.18567369718085597,0.0,0.0,0.0,0.0,0.5677486875321008,0.15216731250108648,0.09441030278595677
TCGA-CS-5393-01A,nnls,0.11403898397884182,0.0,0.0,0.0,0.0,0.6692780307635966,0.09817173151014935,0.11851125374741218
TCGA-CS-5394-01A,nnls,0.08620265969152288,0.0,0.0,0.0,0.0,0.6511535426043021,0.04706200507609628,0.21558179262807875
TCGA-CS-5395-01A,nnls,0.3899829410427504,0.0,0.0,0.0,0.0,0.14416883177672332,0.10492560373434642,0.3609226234461798
TCGA-CS-5396-01A,nnls,0.2264476246487936,0.0,0.0,0.0,0.0,0.5622221371123178,0.15144568470356215,0.05988455353532634
TCGA-CS-5397-01A,nnls,0.270377527528289,0.0,0.0,0.0,0.0,0.48932601142386417,0.04914106981444848,0.19115539123339845
TCGA-CS-6186-01A,nnls,0.3291286874955892,0.0,0.0,0.0,0.0,0.0,0.0,0.6708713125044108
TCGA-CS-6188-01A,nnls,0.3882346215289166,0.019314889258799903,0.0,0.0,0.0,0.33972660463927895,0.030693404690598468,0.22203047988240607
TCGA-CS-6290-01A,nnls,0.543317982068998,0.0,0.0,0.0,0.0,0.2951051361018976,0.04428900976489195,0.11728787206421264
TCGA-CS-6665-01A,nnls,0.24010513707074105,0.030581615892135188,0.0,0.0,0.0,0.34845907156044187,0.3038791565177286,0.07697501895895326
TCGA-CS-6666-01A,nnls,0.15495799824997594,0.0,0.0,0.0,0.0,0.7261945795182663,0.033385487948275054,0.08546193428348275
TCGA-CS-6667-01A,nnls,0.0722847188378746,0.0,0.0,0.0,0.0,0.8267656239487957,0.021091543330608774,0.07985811388272089
TCGA-CS-6668-01A,nnls,0.2797325318328058,0.0,0.0,0.0,0.0,0.5360425406383936,0.09087282715600356,0.09335210037279708
TCGA-CS-6669-01A,nnls,0.0,0.0,0.015744561750487312,0.0,0.710039282080648,0.003086924334429222,0.10025228514783202,0.17087694668660341
TCGA-CS-6670-01A,nnls,0.09721621023770392,0.0,0.0,0.0,0.0,0.7841250021366442,0.030143195931180426,0.08851559169447144
TCGA-DB-5270-01A,nnls,0.2522086981637992,0.0,0.0,0.0,0.0,0.38899684557822206,0.12553757368342042,0.23325688257455834
TCGA-DB-5273-01A,nnls,0.43205428259039613,0.0,0.0,0.0,0.0,0.4330797374459508,0.043421384344052974,0.09144459561960022
TCGA-DB-5274-01A,nnls,0.37008081828985495,0.0,0.0,0.0,0.0,0.44185610366303707,0.11733405345761493,0.07072902458949305
TCGA-DB-5275-01A,nnls,0.20356972290446174,0.0,0.0,0.0,0.0,0.6894972657367094,0.021370004700827658,0.08556300665800122
TCGA-DB-5276-01A,nnls,0.28709535114341017,0.0,0.0,0.0,0.0,0.2835917085055445,0.2818886738757331,0.1474242664753123
TCGA-DB-5277-01A,nnls,0.15768488369020775,0.0,0.0,0.0,0.0,0.551290947922351,0.1673658908829442,0.12365827750449705
TCGA-DB-5278-01A,nnls,0.08597924192077422,0.0,0.0,0.0,0.0,0.7843158445045808,0.044667908254138786,0.08503700532050613
TCGA-DB-5280-01A,nnls,0.21386549314447495,0.0,0.0,0.0,0.0,0.6507629353799085,0.02606774530820088,0.10930382616741569
TCGA-DB-5281-01A,nnls,0.17805252332418262,0.0,0.0,0.0,0.0,0.6681683419134563,0.02827894127524431,0.12550019348711677
TCGA-DB-A4X9-01A,nnls,0.2501034358630108,0.0,0.0,0.0,0.0,0.5352826320167325,0.029731533619950252,0.18488239850030638
TCGA-DB-A4XA-01A,nnls,0.3068376496683487,0.0,0.0,0.0,0.0,0.48472186178704596,0.06403565251199839,0.1444048360326071
TCGA-DB-A4XB-01A,nnls,0.15404726813149627,0.0,0.0,0.0,0.0,0.6929772045043235,0.0435011962499625,0.10947433111421755
TCGA-DB-A4XC-01A,nnls,0.24625450429353082,0.0,0.0,0.0,0.0,0.5802250921250123,0.019906376528539344,0.15361402705291757
TCGA-DB-A4XD-01A,nnls,0.218067206336272,0.0,0.0,0.0,0.0,0.5899781822425406,0.09232515052546898,0.09962946089571835
TCGA-DB-A4XE-01A,nnls,0.31021156580102033,0.0,0.0,0.0,0.0,0.45055785728266573,0.07789225621044046,0.16133832070587337
TCGA-DB-A4XF-01A,nnls,0.34412508906089756,0.0,0.0,0.0,0.0,0.46092516544890055,0.050325450434357044,0.14462429505584481
TCGA-DB-A4XG-01A,nnls,0.09917625435026374,0.0,0.0,0.0,0.0,0.8187717136836734,0.01623209446421041,0.06581993750185236
TCGA-DB-A4XH-01A,nnls,0.0,0.0,0.0,0.0,0.0,0.5946510275574755,0.18053142309620288,0.22481754934632162
TCGA-DB-A64L-01A,nnls,0.17470382669815682,0.0,0.0,0.0,0.0,0.4600505720226004,0.0430895690415225,0.3221560322377203
TCGA-DB-A64O-01A,nnls,0.5491352734552271,0.0,0.0,0.0,0.0,0.0,0.021467540432710576,0.4293971861120624
TCGA-DB-A64P-01A,nnls,0.10403021471278362,0.0,0.0,0.0,0.0,0.7082726997891899,0.07241746856426452,0.11527961693376189
TCGA-DB-A64Q-01A,nnls,0.12594647528663272,0.0,0.0,0.0,0.0,0.6935447354157924,0.05325478625297487,0.12725400304460002
TCGA-DB-A64R-01A,nnls,0.08246026495731922,0.0,0.0,0.0,0.0,0.8391305371440052,0.022256782225407726,0.05615241567326789
TCGA-DB-A64S-01A,nnls,0.23879747180255806,0.004539180465391585,0.0,0.0,0.0,0.6270374308388732,0.061396296322825755,0.06822962057035144
TCGA-DB-A64U-01A,nnls,0.06365041103088066,0.0,0.0,0.0,0.0,0.675525386813141,0.19347503337284574,0.06734916878313252
TCGA-DB-A64V-01A,nnls,0.4469774163349826,0.0,0.0,0.0,0.0,0.15574044524128336,0.19861823160678968,0.19866390681694443
TCGA-DB-A64W-01A,nnls,0.2094269963576774,0.0,0.0,0.0,0.0,0.5022138363282331,0.14264861393001377,0.1457105533840757
TCGA-DB-A64X-01A,nnls,0.20455950912169407,0.0,0.0,0.0,0.0,0.6558069096764421,0.006702622580075393,0.13293095862178844
TCGA-DB-A75K-01A,nnls,0.3338984099406225,0.0,0.0,0.0,0.0,0.5043903436985557,0.06260925754941168,0.09910198881141015
TCGA-DB-A75L-01A,nnls,0.27979785682593217,0.0,0.0,0.0,0.0,0.4443344802567908,0.11048826259088786,0.16537940032638918
TCGA-DB-A75M-01A,nnls,0.3431737434631791,0.0,0.0,0.0,0.0,0.5049425796961768,0.02911446081997477,0.12276921602066922
TCGA-DB-A75O-01A,nnls,0.44662137841306077,0.0,0.0,0.0,0.0,0.4549377112725932,0.0,0.09844091031434603
TCGA-DB-A75P-01A,nnls,0.1698755381246844,0.0,0.0,0.0,0.0,0.6799940080055741,0.013495684399158799,0.13663476947058273
TCGA-DH-5140-01A,nnls,0.3414647113811384,0.0,0.0,0.0,0.0,0.5436832155321941,0.022155305804106115,0.09269676728256158
TCGA-DH-5142-01A,nnls,0.361833121965473,0.0,0.0,0.0,0.0,0.5102650625868324,0.05163977257529644,0.0762620428723981
