HUGO symbols	Cell population
GPR17	Tumor
SUSD2	Tumor
DLL3	Tumor
SAA3P	Tumor
DLX5	Tumor
STMN2	Tumor
SLN	Tumor
SOX11	Tumor
POSTN	Tumor
NXPH1	Tumor
DLX6-AS1	Tumor
SLPI	Tumor
SHD	Tumor
CHST9	Tumor
RPH3A	Tumor
CCL4L2	Macrophage_Microglia
TREM2	Macrophage_Microglia
FCGBP	Macrophage_Microglia
FCGR1A	Macrophage_Microglia
IBSP	Macrophage_Microglia
P2RY12	Macrophage_Microglia
C1QB	Macrophage_Microglia
VMO1	Macrophage_Microglia
CSF1R	Macrophage_Microglia
LILRB4	Macrophage_Microglia
CSF2RA	Macrophage_Microglia
VSIG4	Macrophage_Microglia
C1QA	Macrophage_Microglia
CD14	Macrophage_Microglia
ADORA3	Macrophage_Microglia
HAPLN4	T_cell
KLK7	T_cell
ZNF619	T_cell
SIRT4	T_cell
POU3F4	T_cell
DLG5	T_cell
ICOS	T_cell
CD3D	T_cell
CD8B	T_cell
CTLA4	T_cell
CD3G	T_cell
CD40LG	T_cell
SCARNA12	T_cell
LIME1	T_cell
FOXP3	T_cell
KRT81	NK_cell
KRT86	NK_cell
CLC	NK_cell
XCL1	NK_cell
KIR2DL4	NK_cell
CD160	NK_cell
SH2D1B	NK_cell
XCL2	NK_cell
TXK	NK_cell
KLRC1	NK_cell
GNLY	NK_cell
TNFRSF18	NK_cell
TMIGD2	NK_cell
CD244	NK_cell
CCNA1	NK_cell
VPREB3	B_cell
CD79A	B_cell
MS4A1	B_cell
CD19	B_cell
TCL1A	B_cell
BANK1	B_cell
TNFRSF13B	B_cell
BLK	B_cell
CD79B	B_cell
FCRLA	B_cell
ID2B	B_cell
FCRL2	B_cell
TNFRSF13C	B_cell
BTLA	B_cell
POU2AF1	B_cell
VWF	Endothelial
ESAM	Endothelial
CLDN5	Endothelial
HSPG2	Endothelial
ECSCR	Endothelial
SPINK8	Endothelial
ABCG2	Endothelial
EGFL7	Endothelial
TM4SF18	Endothelial
CLEC14A	Endothelial
EMCN	Endothelial
ESM1	Endothelial
EDN1	Endothelial
NOSTRIN	Endothelial
SLC38A5	Endothelial
MAG	Oligodendrocyte
CNDP1	Oligodendrocyte
KLK6	Oligodendrocyte
TF	Oligodendrocyte
OPALIN	Oligodendrocyte
GJB1	Oligodendrocyte
TMEM125	Oligodendrocyte
PLP1	Oligodendrocyte
ERMN	Oligodendrocyte
PPP1R14A	Oligodendrocyte
CAPN3	Oligodendrocyte
ENPP2	Oligodendrocyte
SLC24A2	Oligodendrocyte
HAPLN2	Oligodendrocyte
CLDN11	Oligodendrocyte
GJB6	Astrocyte
S100P	Astrocyte
WIF1	Astrocyte
SLC1A2	Astrocyte
GABRA2	Astrocyte
SLC39A12	Astrocyte
HCAR2	Astrocyte
CPNE6	Astrocyte
CLDN10	Astrocyte
RANBP3L	Astrocyte
PAMR1	Astrocyte
FGFR3	Astrocyte
PRODH	Astrocyte
PROK2	Astrocyte
PPP1R1B	Astrocyte
