id,name,gene-id,gene-symbol,gene-name,entrez-id,chromosome,start-position,end-position,p,fold-change
10924,"endothelial cell-specific molecule 1",10924,"ESM1","endothelial cell-specific molecule 1",11082,"5","n/a","n/a","4.66e-36","107.120"
1272,"collagen, type III, alpha 1",1272,"COL3A1","collagen, type III, alpha 1",1281,"2","n/a","n/a","1.09e-32","85.928"
3361,"integrin-binding sialoprotein",3361,"IBSP","integrin-binding sialoprotein",3381,"4","n/a","n/a","3.62e-22","68.974"
157121661,"uncharacterized LOC100506027",157121661,"LOC100506027","uncharacterized LOC100506027",100506027,"7","n/a","n/a","1.31e-28","64.707"
1387,"cysteine-rich protein 1 (intestinal)",1387,"CRIP1","cysteine-rich protein 1 (intestinal)",1396,"14","n/a","n/a","4.94e-31","51.861"
1273,"collagen, type IV, alpha 1",1273,"COL4A1","collagen, type IV, alpha 1",1282,"13","n/a","n/a","8.67e-54","45.513"
3647,"integrin, alpha 1",3647,"ITGA1","integrin, alpha 1",3672,"5","n/a","n/a","1.30e-55","44.491"
4292,"matrix metallopeptidase 9 (gelatinase B, 92kDa gelatinase, 92kDa type IV collagenase)",4292,"MMP9","matrix metallopeptidase 9 (gelatinase B, 92kDa gelatinase, 92kDa type IV collagenase)",4318,"20","n/a","n/a","1.34e-13","41.215"
4035,"lumican",4035,"LUM","lumican",4060,"12","n/a","n/a","2.78e-23","40.670"
80317,"olfactory receptor, family 51, subfamily E, member 1",80317,"OR51E1","olfactory receptor, family 51, subfamily E, member 1",143503,"11","n/a","n/a","6.87e-23","38.214"
943,"CD36 molecule (thrombospondin receptor)",943,"CD36","CD36 molecule (thrombospondin receptor)",948,"7","n/a","n/a","8.53e-31","35.504"
31231,"HIG1 hypoxia inducible domain family, member 1B",31231,"HIGD1B","HIG1 hypoxia inducible domain family, member 1B",51751,"17","n/a","n/a","8.72e-45","34.159"
8424,"regulator of G-protein signaling 5",8424,"RGS5","regulator of G-protein signaling 5",8490,"1","n/a","n/a","5.02e-46","33.584"
157123573,"histone demethylase UTY-like",157123573,"DNAPTP3","histone demethylase UTY-like",100507488,"2","n/a","n/a","2.00e-42","32.261"
2013,"glutamyl aminopeptidase (aminopeptidase A)",2013,"ENPEP","glutamyl aminopeptidase (aminopeptidase A)",2028,"4","n/a","n/a","1.59e-41","30.475"
34364,"uveal autoantigen with coiled-coil domains and ankyrin repeats",34364,"UACA","uveal autoantigen with coiled-coil domains and ankyrin repeats",55075,"15","n/a","n/a","2.10e-43","30.471"
22674,"CD93 molecule",22674,"CD93","CD93 molecule",22918,"20","n/a","n/a","3.68e-49","29.360"
158897,"serine peptidase inhibitor, Kazal type 8 (putative)",158897,"SPINK8","serine peptidase inhibitor, Kazal type 8 (putative)",646424,"3","n/a","n/a","2.74e-16","29.199"
56,"actin, alpha 2, smooth muscle, aorta",56,"ACTA2","actin, alpha 2, smooth muscle, aorta",59,"10","n/a","n/a","3.15e-16","27.579"
1896,"endothelin receptor type A",1896,"EDNRA","endothelin receptor type A",1909,"4","n/a","n/a","2.26e-52","26.082"
